number_in_list	fold_enrichment	fdr	expected	number_in_reference	pValue	GO_id	GO_label
6	27.82578397212544	2.2758585009703672e-05	0.215627347858752	41	8.821156980505298e-08	GO:0005198	structural molecule activity
6	27.82578397212544	1.1379292504851831e-05	0.215627347858752	41	8.821156980505298e-08	GO:0003735	structural constituent of ribosome
8	0.509595597032783	0.037025563708597005	15.698722764838466	2985	0.00043052981056508513		UNCLASSIFIED
13	2.452239229024943	0.027769172781447003	5.301277235161533	1008	0.00043052981056508513	GO:0003674	molecular_function
3	14.260714285714286	0.06871666368479801	0.21036814425244102	40	0.0013317182884650001	GO:0003723	RNA binding
2	29.252747252747255	0.11298739429724201	0.068369646882043	13	0.002627613820866	GO:0019843	rRNA binding
1	63.38095238095238	0.7655526186148951	0.015777610818933002	3	0.020770807481799002	GO:0008320	protein transmembrane transporter activity
1	27.16326530612245	1.0	0.036814425244177	7	0.041130325143011	GO:1904680	peptide transmembrane transporter activity
1	27.16326530612245	1.0	0.036814425244177	7	0.041130325143011	GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen
1	27.16326530612245	1.0	0.036814425244177	7	0.041130325143011	GO:0008395	steroid hydroxylase activity
1	27.16326530612245	0.9646930806269901	0.036814425244177	7	0.041130325143011	GO:0042887	amide transmembrane transporter activity
3	3.880466472303207	0.8929808538678881	0.773102930127723	147	0.041533993203157	GO:0003676	nucleic acid binding
1	23.767857142857146	0.916035968920303	0.042073628850488	8	0.046156851147147	GO:0015036	disulfide oxidoreductase activity
