Protein_1	Protein_2
Rv0073	cspB
gmhA	Rv0566c
gmhA	mce2R
gmhA	sucD
dnaK	Rv0890c
Rv0386	Rv0890c
Rv0566c	mce2R
Rv0566c	cspB
Rv0566c	sucD
mce2R	cspB
mce2R	sucD
rplC	rpsS
rplC	rpsC
rplC	rpsQ
rplC	rplN
rplC	rplX
rplC	rplE
rplC	rpsH
rplC	rplF
rpsS	rpsC
rpsS	rpsQ
rpsS	rplN
rpsS	rplX
rpsS	rplE
rpsS	rpsH
rpsS	rplF
rpsC	rpsQ
rpsC	rplN
rpsC	rplX
rpsC	rplE
rpsC	rpsH
rpsC	rplF
rpsQ	rplN
rpsQ	rplX
rpsQ	rplE
rpsQ	rpsH
rpsQ	rplF
rplN	rplX
rplN	rpsH
rplN	rplF
rplX	rplE
rplX	rpsH
rplX	rplF
rplE	rpsH
rplE	rplF
rpsH	rplF
moaC2	cspB
cspB	sucD
Rv0890c	Rv0986
prrA	mprA
