Protein_1	Protein_2
dnaA	rodA
dnaA	Rv0064
dnaA	sdaA
dnaA	htdX
dnaA	Rv0364
dnaA	fadD30
dnaA	pknG
dnaA	thiE
dnaA	thiO
dnaA	thiG
dnaA	thiD
dnaA	def
dnaA	psd
dnaA	Rv0504c
dnaA	rpoC
dnaA	end
dnaA	Rv0696
dnaA	rplD
dnaA	rplV
dnaA	Rv0948c
dnaA	Rv0968
dnaN	Rv0039c
dnaN	Rv0078
dnaN	purA
dnaN	clpB
dnaN	Rv0401
dnaN	regX3
dnaN	tcrA
dnaN	hadB
dnaN	rpsL
dnaN	rplB
dnaN	rpmD
dnaN	Rv0730
dnaN	narL
dnaN	mscL
dnaN	Rv0991c
recF	Rv0004
recF	Rv0010c
recF	pstP
recF	fhaA
recF	mtc28
recF	leuS
recF	glyA2
recF	Rv0093c
recF	Rv0097
recF	fcoT
recF	fadD10
recF	Rv0187
recF	mycP3
recF	Rv0358
recF	metZ
recF	pks6
recF	sodC
recF	Rv0449c
recF	Rv0647c
recF	sppA
recF	pdc
recF	fprB
recF	Rv0891c
recF	Rv0894
recF	Rv0945
recF	pgi
recF	Rv0950c
recF	sucC
recF	Rv0955
recF	purH
recF	mprB
recF	Rv0992c
recF	Rv0996
recF	Rv1005c
Rv0004	Rv0010c
Rv0004	pstP
Rv0004	fhaA
Rv0004	mtc28
Rv0004	leuS
Rv0004	glyA2
Rv0004	Rv0093c
Rv0004	Rv0097
Rv0004	fcoT
Rv0004	fadD10
Rv0004	Rv0187
Rv0004	mycP3
Rv0004	Rv0358
Rv0004	metZ
Rv0004	pks6
Rv0004	sodC
Rv0004	Rv0449c
Rv0004	Rv0647c
Rv0004	sppA
Rv0004	pdc
Rv0004	fprB
Rv0004	Rv0891c
Rv0004	Rv0894
Rv0004	Rv0945
Rv0004	pgi
Rv0004	Rv0950c
Rv0004	sucC
Rv0004	Rv0955
Rv0004	purH
Rv0004	mprB
Rv0004	Rv0992c
Rv0004	Rv0996
Rv0004	Rv1005c
gyrB	pknA
gyrB	fhaB
gyrB	narK3
gyrB	thiS
gyrB	rplO
gyrB	sucD
gyrB	purN
gyrB	galU
gyrB	Rv1003
Rv0007	ino1
Rv0007	Rv0048c
Rv0007	Rv0049
Rv0007	dnaB
Rv0007	icd2
Rv0007	Rv0072
Rv0007	Rv0083
Rv0007	hycP
Rv0007	hycE
Rv0007	mtn
Rv0007	Rv0121c
Rv0007	mak
Rv0007	Rv0133
Rv0007	ephF
Rv0007	Rv0141c
Rv0007	Rv0143c
Rv0007	Rv0145
Rv0007	Rv0146
Rv0007	Rv0147
Rv0007	Rv0148
Rv0007	ptbB
Rv0007	Rv0161
Rv0007	mce1C
Rv0007	mce1D
Rv0007	Rv0176
Rv0007	Rv0183
Rv0007	Rv0184
Rv0007	Rv0185
Rv0007	zmp1
Rv0007	Rv0199
Rv0007	Rv0200
Rv0007	Rv0201c
Rv0007	mmpL11
Rv0007	Rv0204c
Rv0007	mmpL3
Rv0007	Rv0207c
Rv0007	Rv0216
Rv0007	Rv0219
Rv0007	Rv0221
Rv0007	Rv0223c
Rv0007	Rv0224c
Rv0007	Rv0225
Rv0007	php
Rv0007	Rv0232
Rv0007	fabG4
Rv0007	Rv0247c
Rv0007	Rv0248c
Rv0007	nirD
Rv0007	aac
Rv0007	Rv0263c
Rv0007	fadD2
Rv0007	fadE6
Rv0007	Rv0273c
Rv0007	Rv0276
Rv0007	Rv0281
Rv0007	eccA3
Rv0007	eccC3
Rv0007	esxG
Rv0007	eccD3
Rv0007	Rv0293c
Rv0007	tam
Rv0007	Rv0308
Rv0007	Rv0310c
Rv0007	Rv0314c
Rv0007	cyp135A1
Rv0007	Rv0333
Rv0007	Rv0340
Rv0007	Rv0369c
Rv0007	Rv0371c
Rv0007	Rv0373c
Rv0007	Rv0377
Rv0007	Rv0380c
Rv0007	Rv0385
Rv0007	Rv0398c
Rv0007	pta
Rv0007	ackA
Rv0007	mutT3
Rv0007	Rv0420c
Rv0007	Rv0421c
Rv0007	thiC
Rv0007	Rv0434
Rv0007	Rv0435c
Rv0007	rskA
Rv0007	sigK
Rv0007	Rv0448c
Rv0007	echA2
Rv0007	Rv0458
Rv0007	Rv0459
Rv0007	Rv0460
Rv0007	Rv0461
Rv0007	Rv0463
Rv0007	Rv0472c
Rv0007	hbhA
Rv0007	Rv0477
Rv0007	Rv0479c
Rv0007	Rv0480c
Rv0007	Rv0484c
Rv0007	senX3
Rv0007	Rv0497
Rv0007	hemC
Rv0007	Rv0516c
Rv0007	Rv0525
Rv0007	Rv0535
Rv0007	Rv0541c
Rv0007	fadD8
Rv0007	mgtA
Rv0007	grcC1
Rv0007	htpX
Rv0007	Rv0566c
Rv0007	cyp135B1
Rv0007	Rv0575c
Rv0007	Rv0576
Rv0007	Rv0580c
Rv0007	lpqN
Rv0007	mce2C
Rv0007	mce2D
Rv0007	Rv0600c
Rv0007	galK
Rv0007	echA3
Rv0007	nusG
Rv0007	Rv0658c
Rv0007	rpoB
Rv0007	Rv0669c
Rv0007	lpqP
Rv0007	echA4
Rv0007	Rv0686
Rv0007	Rv0695
Rv0007	Rv0697
Rv0007	atsA
Rv0007	Rv0712
Rv0007	Rv0713
Rv0007	Rv0725c
Rv0007	Rv0726c
Rv0007	fucA
Rv0007	Rv0731c
Rv0007	Rv0738
Rv0007	mmsB
Rv0007	Rv0756c
Rv0007	Rv0791c
Rv0007	Rv0825c
Rv0007	kmtR
Rv0007	Rv0830
Rv0007	moaE2
Rv0007	Rv0877
Rv0007	Rv0893c
Rv0007	Rv0909
Rv0007	Rv0958
Rv0007	Rv0965c
Rv0007	accA2
Rv0007	grcC2
ppiA	Rv0011c
ppiA	Rv0361
ppiA	Rv0430
ppiA	cmaA2
ppiA	hadA
ppiA	hadC
ppiA	rplK
ppiA	rplA
ppiA	mmaA4
ppiA	mmaA3
ppiA	mmaA2
ppiA	mmaA1
ppiA	rplL
ppiA	rpsG
ppiA	tuf
ppiA	rpsJ
ppiA	rplW
ppiA	rpsS
ppiA	rplP
ppiA	rplX
ppiA	rplE
ppiA	rpsH
ppiA	rplF
ppiA	rpsE
ppiA	secY
ppiA	adk
ppiA	phoP
ppiA	cysA2
ppiA	cspB
ppiA	Rv0890c
ppiA	prrA
ppiA	mprA
ppiA	Rv0986
Rv0010c	pstP
Rv0010c	fhaA
Rv0010c	mtc28
Rv0010c	leuS
Rv0010c	glyA2
Rv0010c	Rv0093c
Rv0010c	Rv0097
Rv0010c	fcoT
Rv0010c	fadD10
Rv0010c	Rv0187
Rv0010c	mycP3
Rv0010c	Rv0358
Rv0010c	metZ
Rv0010c	pks6
Rv0010c	sodC
Rv0010c	Rv0449c
Rv0010c	Rv0647c
Rv0010c	sppA
Rv0010c	pdc
Rv0010c	fprB
Rv0010c	Rv0891c
Rv0010c	Rv0894
Rv0010c	Rv0945
Rv0010c	pgi
Rv0010c	Rv0950c
Rv0010c	sucC
Rv0010c	Rv0955
Rv0010c	purH
Rv0010c	mprB
Rv0010c	Rv0992c
Rv0010c	Rv0996
Rv0010c	Rv1005c
Rv0011c	Rv0361
Rv0011c	Rv0430
Rv0011c	cmaA2
Rv0011c	hadA
Rv0011c	hadC
Rv0011c	rplK
Rv0011c	rplA
Rv0011c	mmaA4
Rv0011c	mmaA3
Rv0011c	mmaA2
Rv0011c	mmaA1
Rv0011c	rplL
Rv0011c	rpsG
Rv0011c	tuf
Rv0011c	rpsJ
Rv0011c	rplW
Rv0011c	rpsS
Rv0011c	rplP
Rv0011c	rplX
Rv0011c	rplE
Rv0011c	rpsH
Rv0011c	rplF
Rv0011c	rpsE
Rv0011c	secY
Rv0011c	adk
Rv0011c	phoP
Rv0011c	cysA2
Rv0011c	cspB
Rv0011c	Rv0890c
Rv0011c	prrA
Rv0011c	mprA
Rv0011c	Rv0986
Rv0012	Rv0067c
Rv0012	oxyS
Rv0012	hsp
Rv0012	Rv0307c
Rv0012	Rv0315
Rv0012	Rv0390
Rv0012	Rv0441c
Rv0012	Rv0687
Rv0012	Rv0692
Rv0012	Rv0859
pknB	pbpA
pknB	pssA
pknB	Rv0966c
pknA	fhaB
pknA	narK3
pknA	thiS
pknA	rplO
pknA	sucD
pknA	purN
pknA	galU
pknA	Rv1003
pbpA	pssA
pbpA	Rv0966c
rodA	Rv0064
rodA	sdaA
rodA	htdX
rodA	Rv0364
rodA	fadD30
rodA	pknG
rodA	thiE
rodA	thiO
rodA	thiG
rodA	thiD
rodA	def
rodA	psd
rodA	Rv0504c
rodA	rpoC
rodA	end
rodA	Rv0696
rodA	rplD
rodA	rplV
rodA	Rv0948c
rodA	Rv0968
pstP	fhaA
pstP	mtc28
pstP	leuS
pstP	glyA2
pstP	Rv0093c
pstP	Rv0097
pstP	fcoT
pstP	fadD10
pstP	Rv0187
pstP	mycP3
pstP	Rv0358
pstP	metZ
pstP	pks6
pstP	sodC
pstP	Rv0449c
pstP	Rv0647c
pstP	sppA
pstP	pdc
pstP	fprB
pstP	Rv0891c
pstP	Rv0894
pstP	Rv0945
pstP	pgi
pstP	Rv0950c
pstP	sucC
pstP	Rv0955
pstP	purH
pstP	mprB
pstP	Rv0992c
pstP	Rv0996
pstP	Rv1005c
fhaB	narK3
fhaB	thiS
fhaB	rplO
fhaB	sucD
fhaB	purN
fhaB	galU
fhaB	Rv1003
fhaA	mtc28
fhaA	leuS
fhaA	glyA2
fhaA	Rv0093c
fhaA	Rv0097
fhaA	fcoT
fhaA	fadD10
fhaA	Rv0187
fhaA	mycP3
fhaA	Rv0358
fhaA	metZ
fhaA	pks6
fhaA	sodC
fhaA	Rv0449c
fhaA	Rv0647c
fhaA	sppA
fhaA	pdc
