Protein_1	Protein_2	GN	PP	GF	GC	IN
Rv0004	Rv0010c	0	1	0	0	0
Rv0004	Rv0093c	0	1	0	0	0
Rv0004	Rv0097	0	1	0	0	0
Rv0004	Rv0187	0	1	0	0	0
Rv0004	Rv0358	0	1	0	0	0
Rv0004	Rv0449c	0	1	0	0	0
Rv0004	Rv0647c	0	1	0	0	0
Rv0004	Rv0891c	0	1	0	0	0
Rv0004	Rv0894	0	1	0	0	0
Rv0004	Rv0945	0	1	0	0	0
Rv0004	Rv0950c	0	1	0	0	0
Rv0004	Rv0955	0	1	0	0	0
Rv0004	Rv0992c	0	1	0	0	0
Rv0004	Rv0996	0	1	0	0	0
Rv0004	Rv1005c	0	1	0	0	0
Rv0004	fadD10	0	1	0	0	0
Rv0004	fcoT	0	1	0	0	0
Rv0004	fhaA	0	1	0	0	0
Rv0004	fprB	0	1	0	0	0
Rv0004	glyA2	0	1	0	0	0
Rv0004	gyrB	1	0	0	0	0
Rv0004	leuS	0	1	0	0	0
Rv0004	metZ	0	1	0	0	0
Rv0004	mprB	0	1	0	0	0
Rv0004	mtc28	0	1	0	0	0
Rv0004	mycP3	0	1	0	0	0
Rv0004	pdc	0	1	0	0	0
Rv0004	pgi	0	1	0	0	0
Rv0004	pks6	0	1	0	0	0
Rv0004	pstP	0	1	0	0	0
Rv0004	purH	0	1	0	0	0
Rv0004	sodC	0	1	0	0	0
Rv0004	sppA	0	1	0	0	0
Rv0004	sucC	0	1	0	0	0
Rv0007	Rv0048c	0	1	0	0	0
Rv0007	Rv0049	0	1	0	0	0
Rv0007	Rv0072	0	1	0	0	0
Rv0007	Rv0083	0	1	0	0	0
Rv0007	Rv0121c	0	1	0	0	0
Rv0007	Rv0133	0	1	0	0	0
Rv0007	Rv0141c	0	1	0	0	0
Rv0007	Rv0143c	0	1	0	0	0
Rv0007	Rv0145	0	1	0	0	0
Rv0007	Rv0146	0	1	0	0	0
Rv0007	Rv0147	0	1	0	0	0
Rv0007	Rv0148	0	1	0	0	0
Rv0007	Rv0161	0	1	0	0	0
Rv0007	Rv0176	0	1	0	0	0
Rv0007	Rv0183	0	1	0	0	0
Rv0007	Rv0184	0	1	0	0	0
Rv0007	Rv0185	0	1	0	0	0
Rv0007	Rv0199	0	1	0	0	0
Rv0007	Rv0200	0	1	0	0	0
Rv0007	Rv0201c	0	1	0	0	0
Rv0007	Rv0204c	0	1	0	0	0
Rv0007	Rv0207c	0	1	0	0	0
Rv0007	Rv0216	0	1	0	0	0
Rv0007	Rv0219	0	1	0	0	0
Rv0007	Rv0221	0	1	0	0	0
Rv0007	Rv0223c	0	1	0	0	0
Rv0007	Rv0224c	0	1	0	0	0
Rv0007	Rv0225	0	1	0	0	0
Rv0007	Rv0232	0	1	0	0	0
Rv0007	Rv0247c	0	1	0	0	0
Rv0007	Rv0248c	0	1	0	0	0
Rv0007	Rv0263c	0	1	0	0	0
Rv0007	Rv0273c	0	1	0	0	0
Rv0007	Rv0276	0	1	0	0	0
Rv0007	Rv0281	0	1	0	0	0
Rv0007	Rv0293c	0	1	0	0	0
Rv0007	Rv0308	0	1	0	0	0
Rv0007	Rv0310c	0	1	0	0	0
Rv0007	Rv0314c	0	1	0	0	0
Rv0007	Rv0333	0	1	0	0	0
Rv0007	Rv0340	0	1	0	0	0
Rv0007	Rv0369c	0	1	0	0	0
Rv0007	Rv0371c	0	1	0	0	0
Rv0007	Rv0373c	0	1	0	0	0
Rv0007	Rv0377	0	1	0	0	0
Rv0007	Rv0380c	0	1	0	0	0
Rv0007	Rv0385	0	1	0	0	0
Rv0007	Rv0398c	0	1	0	0	0
Rv0007	Rv0420c	0	1	0	0	0
Rv0007	Rv0421c	0	1	0	0	0
Rv0007	Rv0434	0	1	0	0	0
Rv0007	Rv0435c	0	1	0	0	0
Rv0007	Rv0448c	0	1	0	0	0
Rv0007	Rv0458	0	1	0	0	0
Rv0007	Rv0459	0	1	0	0	0
Rv0007	Rv0460	0	1	0	0	0
Rv0007	Rv0461	0	1	0	0	0
Rv0007	Rv0463	0	1	0	0	0
Rv0007	Rv0472c	0	1	0	0	0
Rv0007	Rv0477	0	1	0	0	0
Rv0007	Rv0479c	0	1	0	0	0
Rv0007	Rv0480c	0	1	0	0	0
Rv0007	Rv0484c	0	1	0	0	0
Rv0007	Rv0497	0	1	0	0	0
Rv0007	Rv0516c	0	1	0	0	0
Rv0007	Rv0525	0	1	0	0	0
Rv0007	Rv0535	0	1	0	0	0
Rv0007	Rv0541c	0	1	0	0	0
Rv0007	Rv0566c	0	1	0	0	0
Rv0007	Rv0575c	0	1	0	0	0
Rv0007	Rv0576	0	1	0	0	0
Rv0007	Rv0580c	0	1	0	0	0
Rv0007	Rv0600c	0	1	0	0	0
Rv0007	Rv0658c	0	1	0	0	0
Rv0007	Rv0669c	0	1	0	0	0
Rv0007	Rv0686	0	1	0	0	0
Rv0007	Rv0695	0	1	0	0	0
Rv0007	Rv0697	0	1	0	0	0
Rv0007	Rv0712	0	1	0	0	0
Rv0007	Rv0713	0	1	0	0	0
Rv0007	Rv0725c	0	1	0	0	0
Rv0007	Rv0726c	0	1	0	0	0
Rv0007	Rv0731c	0	1	0	0	0
Rv0007	Rv0738	0	1	0	0	0
Rv0007	Rv0756c	0	1	0	0	0
Rv0007	Rv0791c	0	1	0	0	0
Rv0007	Rv0825c	0	1	0	0	0
Rv0007	Rv0830	0	1	0	0	0
Rv0007	Rv0877	0	1	0	0	0
Rv0007	Rv0893c	0	1	0	0	0
Rv0007	Rv0909	0	1	0	0	0
Rv0007	Rv0958	0	1	0	0	0
Rv0007	Rv0965c	0	1	0	0	0
Rv0007	aac	0	1	0	0	0
Rv0007	accA2	0	1	0	0	0
Rv0007	ackA	0	1	0	0	0
Rv0007	atsA	0	1	0	0	0
Rv0007	cyp135A1	0	1	0	0	0
Rv0007	cyp135B1	0	1	0	0	0
Rv0007	dnaB	0	1	0	0	0
Rv0007	eccA3	0	1	0	0	0
Rv0007	eccC3	0	1	0	0	0
Rv0007	eccD3	0	1	0	0	0
Rv0007	echA2	0	1	0	0	0
Rv0007	echA3	0	1	0	0	0
Rv0007	echA4	0	1	0	0	0
Rv0007	ephF	0	1	0	0	0
Rv0007	esxG	0	1	0	0	0
Rv0007	fabG4	0	1	0	0	0
Rv0007	fadD2	0	1	0	0	0
Rv0007	fadD8	0	1	0	0	0
