#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NZ_CP029543.1",1,1566,"+",,"dnaA","DIJ64_RS00005","WP_010907454.1",521,"chromosomal replication initiator protein DnaA"
"chromosome","NZ_CP029543.1",2081,3280,"+",,,"DIJ64_RS00010","WP_010907455.1",399,"DNA polymerase III subunit beta"
"chromosome","NZ_CP029543.1",3281,4438,"+",,"recF","DIJ64_RS00015","WP_010907456.1",385,"DNA replication/repair protein RecF"
"chromosome","NZ_CP029543.1",4435,5004,"+",,,"DIJ64_RS00020","WP_010907457.1",189,"DUF721 family protein"
"chromosome","NZ_CP029543.1",5229,7265,"+",,"gyrB","DIJ64_RS00025","WP_010907458.1",678,"DNA topoisomerase (ATP-hydrolyzing) subunit B"
"chromosome","NZ_CP029543.1",7318,11067,"+",,,"DIJ64_RS00030","WP_012634405.1",1249,"intein-containing DNA gyrase subunit A"
"chromosome","NZ_CP029543.1",12849,13223,"-",,,"DIJ64_RS00050","WP_010907461.1",124,"hypothetical protein"
"chromosome","NZ_CP029543.1",13768,13959,"+",,,"DIJ64_RS00055","WP_111480933.1",63,"hypothetical protein"
"chromosome","NZ_CP029543.1",15997,16545,"+",,,"DIJ64_RS00060","WP_010907463.1",182,"peptidylprolyl isomerase"
"chromosome","NZ_CP029543.1",16570,16983,"-",,,"DIJ64_RS00065","WP_010907464.1",137,"PH domain-containing protein"
"chromosome","NZ_CP029543.1",17138,17419,"-",,"crgA","DIJ64_RS00070","WP_010907465.1",93,"cell division protein CrgA"
"chromosome","NZ_CP029543.1",18329,19027,"+",,,"DIJ64_RS00080","WP_010907466.1",232,"aminodeoxychorismate/anthranilate synthase component II"
"chromosome","NZ_CP029543.1",19005,20873,"-",,"pknB","DIJ64_RS00085","WP_010907467.1",622,"Stk1 family PASTA domain-containing Ser/Thr kinase"
"chromosome","NZ_CP029543.1",20883,22196,"-",,,"DIJ64_RS00090","WP_010907468.1",437,"serine/threonine protein kinase"
"chromosome","NZ_CP029543.1",22193,23671,"-",,"pbpA","DIJ64_RS00095","WP_010907469.1",492,"D,D-transpeptidase PbpA"
"chromosome","NZ_CP029543.1",23668,25065,"-",,,"DIJ64_RS00100","WP_010907470.1",465,"FtsW/RodA/SpoVE family cell cycle protein"
"chromosome","NZ_CP029543.1",25062,26591,"-",,,"DIJ64_RS00105","WP_010907471.1",509,"serine/threonine-protein phosphatase"
"chromosome","NZ_CP029543.1",26588,27055,"-",,,"DIJ64_RS00110","WP_010907472.1",155,"FHA domain-containing protein"
"chromosome","NZ_CP029543.1",27177,28643,"-",,,"DIJ64_RS00115","WP_010907473.1",488,"DUF3662 and FHA domain-containing protein"
"chromosome","NZ_CP029543.1",28958,29269,"-",,,"DIJ64_RS00125","WP_010907474.1",103,"hypothetical protein"
"chromosome","NZ_CP029543.1",29779,30030,"+",,,"DIJ64_RS00130","WP_010907475.1",83,"hypothetical protein"
"chromosome","NZ_CP029543.1",30297,30587,"-",,,"DIJ64_RS00135","WP_010907476.1",96,"hypothetical protein"
"chromosome","NZ_CP029543.1",33101,33709,"+",,,"DIJ64_RS00150","WP_111480934.1",202,"YqgE/AlgH family protein"
"chromosome","NZ_CP029543.1",34037,34642,"-",,,"DIJ64_RS00155","WP_010907478.1",201,"bile acid:sodium symporter family protein"
"chromosome","NZ_CP029543.1",34754,35095,"-",,,"DIJ64_RS00160","WP_010907479.1",113,"hypothetical protein"
"chromosome","NZ_CP029543.1",35291,36127,"-",,,"DIJ64_RS00165","WP_010907480.1",278,"LpqN/LpqT family lipoprotein"
"chromosome","NZ_CP029543.1",36325,39243,"+",,,"DIJ64_RS00170","WP_010907481.1",972,"leucine--tRNA ligase"
"chromosome","NZ_CP029543.1",42647,42916,"+",,,"DIJ64_RS00180","WP_041322250.1",89,"hypothetical protein"
"chromosome","NZ_CP029543.1",47266,47505,"+",,,"DIJ64_RS00190","WP_049769605.1",79,"hypothetical protein"
"chromosome","NZ_CP029543.1",48890,50230,"+",,"mycP","DIJ64_RS00195","WP_010907482.1",446,"type VII secretion-associated serine protease mycosin"
"chromosome","NZ_CP029543.1",50227,51630,"+",,"eccE","DIJ64_RS00200","WP_012634407.1",467,"type VII secretion protein EccE"
"chromosome","NZ_CP029543.1",51962,52267,"+",,,"DIJ64_RS00205","WP_041322256.1",101,"hypothetical protein"
"chromosome","NZ_CP029543.1",52932,53273,"+",,,"DIJ64_RS00210","WP_010907484.1",113,"YbaB/EbfC family nucleoid-associated protein"
"chromosome","NZ_CP029543.1",55203,55352,"-",,,"DIJ64_RS14960","WP_156511937.1",49,"hypothetical protein"
"chromosome","NZ_CP029543.1",55998,56156,"-",,,"DIJ64_RS14965","WP_156511936.1",52,"hypothetical protein"
"chromosome","NZ_CP029543.1",56254,57792,"-",,"eccD","DIJ64_RS00220","WP_111480935.1",512,"type VII secretion integral membrane protein EccD"
"chromosome","NZ_CP029543.1",57789,59549,"-",,,"DIJ64_RS00225","WP_010907486.1",586,"AAA family ATPase"
"chromosome","NZ_CP029543.1",59640,59927,"-",,,"DIJ64_RS00230","WP_012634408.1",95,"WXG100 family type VII secretion target"
"chromosome","NZ_CP029543.1",59954,60256,"-",,,"DIJ64_RS00235","WP_010907488.1",100,"WXG100 family type VII secretion target"
"chromosome","NZ_CP029543.1",60435,61343,"-",,,"DIJ64_RS00240","WP_010907489.1",302,"PPE domain-containing protein"
"chromosome","NZ_CP029543.1",61553,63346,"-",,"eccCb","DIJ64_RS00245","WP_010907490.1",597,"type VII secretion protein EccCb"
"chromosome","NZ_CP029543.1",63420,65654,"-",,"eccCa","DIJ64_RS00250","WP_010907491.1",744,"type VII secretion protein EccCa"
"chromosome","NZ_CP029543.1",65651,67096,"-",,"eccB","DIJ64_RS00255","WP_010907492.1",481,"type VII secretion protein EccB"
"chromosome","NZ_CP029543.1",67100,68821,"-",,"eccA","DIJ64_RS00260","WP_010907493.1",573,"type VII secretion AAA-ATPase EccA"
"chromosome","NZ_CP029543.1",68818,69327,"-",,,"DIJ64_RS00265","WP_010907494.1",169,"hypothetical protein"
"chromosome","NZ_CP029543.1",71207,71392,"+",,,"DIJ64_RS00275","WP_156511935.1",61,"hypothetical protein"
"chromosome","NZ_CP029543.1",73680,73985,"+",,,"DIJ64_RS00295","WP_041322268.1",101,"hypothetical protein"
"chromosome","NZ_CP029543.1",73994,74143,"+",,,"DIJ64_RS14970","WP_156511857.1",49,"hypothetical protein"
"chromosome","NZ_CP029543.1",75468,80051,"+",,"gltB","DIJ64_RS00300","WP_010907495.1",1527,"glutamate synthase large subunit"
"chromosome","NZ_CP029543.1",80044,81510,"+",,,"DIJ64_RS00305","WP_010907496.1",488,"glutamate synthase subunit beta"
"chromosome","NZ_CP029543.1",83727,84371,"-",,,"DIJ64_RS00320","WP_010907497.1",214,"TetR/AcrR family transcriptional regulator"
"chromosome","NZ_CP029543.1",84440,85924,"+",,,"DIJ64_RS00325","WP_010907498.1",494,"NAD(P)/FAD-dependent oxidoreductase"
"chromosome","NZ_CP029543.1",86005,86478,"-",,,"DIJ64_RS00330","WP_010907499.1",157,"ribonuclease E activity regulator RraA"
"chromosome","NZ_CP029543.1",86500,86865,"-",,,"DIJ64_RS00335","WP_010907500.1",121,"nucleoid-structuring protein H-NS"
"chromosome","NZ_CP029543.1",87379,88095,"-",,,"DIJ64_RS00345","WP_010907501.1",238,"hypothetical protein"
"chromosome","NZ_CP029543.1",88280,88678,"-",,,"DIJ64_RS00350","WP_010907502.1",132,"helix-turn-helix transcriptional regulator"
"chromosome","NZ_CP029543.1",89055,89318,"-",,,"DIJ64_RS00355","WP_010907503.1",87,"hypothetical protein"
"chromosome","NZ_CP029543.1",89672,90205,"-",,,"DIJ64_RS00365","WP_010907504.1",177,"hypothetical protein"
"chromosome","NZ_CP029543.1",90406,91029,"-",,,"DIJ64_RS00370","WP_010907505.1",207,"superoxide dismutase"
"chromosome","NZ_CP029543.1",91851,92885,"+",,,"DIJ64_RS00375","WP_010907506.1",344,"DUF4328 domain-containing protein"
"chromosome","NZ_CP029543.1",94612,95109,"-",,,"DIJ64_RS14975","WP_162618300.1",165,"LCP family protein"
"chromosome","NZ_CP029543.1",96222,97184,"+",,"pheA","DIJ64_RS00405","WP_049769934.1",320,"prephenate dehydratase"
"chromosome","NZ_CP029543.1",97181,97876,"+",,,"DIJ64_RS00410","WP_010907509.1",231,"histidine phosphatase family protein"
"chromosome","NZ_CP029543.1",98439,99791,"-",,,"DIJ64_RS00420","WP_010907510.1",450,"septum formation family protein"
"chromosome","NZ_CP029543.1",99913,101166,"+",,"serS","DIJ64_RS00425","WP_010907511.1",417,"serine--tRNA ligase"
"chromosome","NZ_CP029543.1",102413,102565,"-",,,"DIJ64_RS14980","WP_156517085.1",50,"hypothetical protein"
"chromosome","NZ_CP029543.1",102725,102880,"+",,,"DIJ64_RS14985","WP_156511856.1",51,"hypothetical protein"
"chromosome","NZ_CP029543.1",104830,105093,"-",,,"DIJ64_RS00435","WP_064430340.1",87,"hypothetical protein"
"chromosome","NZ_CP029543.1",105499,105672,"-",,,"DIJ64_RS00445","WP_156517084.1",57,"hypothetical protein"
"chromosome","NZ_CP029543.1",106043,106222,"-",,,"DIJ64_RS14990","WP_145985157.1",59,"hypothetical protein"
"chromosome","NZ_CP029543.1",106846,107613,"+",,,"DIJ64_RS00450","WP_162618215.1",255,"1-acyl-sn-glycerol-3-phosphate acyltransferase"
"chromosome","NZ_CP029543.1",107654,108085,"+",,,"DIJ64_RS00455","WP_081439304.1",143,"1-acyl-sn-glycerol-3-phosphate acyltransferase"
"chromosome","NZ_CP029543.1",108120,108965,"+",,,"DIJ64_RS00460","WP_010907513.1",281,"Cof-type HAD-IIB family hydrolase"
"chromosome","NZ_CP029543.1",109140,109313,"+",,,"DIJ64_RS14995","WP_156511854.1",57,"hypothetical protein"
"chromosome","NZ_CP029543.1",110944,111654,"-",,,"DIJ64_RS00470","WP_010907514.1",236,"hypothetical protein"
