#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NZ_CP058277.1",6320264,2054,"+",,,"HXW97_RS00005","WP_015356772.1",1245,"MULTISPECIES: multifunctional oxoglutarate decarboxylase/oxoglutarate dehydrogenase thiamine pyrophosphate-binding subunit/dihydrolipoyllysine-residue succinyltransferase subunit"
"chromosome","NZ_CP058277.1",2211,3044,"+",,,"HXW97_RS00010","WP_012395768.1",277,"SDR family NAD(P)-dependent oxidoreductase"
"chromosome","NZ_CP058277.1",3081,3932,"-",,,"HXW97_RS00015","WP_202097578.1",283,"hypothetical protein"
"chromosome","NZ_CP058277.1",3944,5116,"-",,,"HXW97_RS00020","WP_085979923.1",390,"NADP-dependent malic enzyme"
"chromosome","NZ_CP058277.1",5317,6306,"-",,,"HXW97_RS00025","WP_012395771.1",329,"MULTISPECIES: malate dehydrogenase"
"chromosome","NZ_CP058277.1",6490,7590,"+",,"corA","HXW97_RS00030","WP_012395772.1",366,"MULTISPECIES: magnesium/cobalt transporter CorA"
"chromosome","NZ_CP058277.1",7595,8740,"-",,,"HXW97_RS00035","WP_094358890.1",381,"MULTISPECIES: LLM class flavin-dependent oxidoreductase"
"chromosome","NZ_CP058277.1",8982,10427,"-",,,"HXW97_RS00040","WP_012395774.1",481,"MULTISPECIES: amino acid permease"
"chromosome","NZ_CP058277.1",10709,11302,"-",,,"HXW97_RS00045","WP_094358894.1",197,"suppressor of fused domain protein"
"chromosome","NZ_CP058277.1",11299,12486,"-",,"ugpC","HXW97_RS00050","WP_202097579.1",395,"sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC"
"chromosome","NZ_CP058277.1",12491,13342,"-",,,"HXW97_RS00055","WP_020729945.1",283,"MULTISPECIES: carbohydrate ABC transporter permease"
"chromosome","NZ_CP058277.1",13332,14228,"-",,,"HXW97_RS00060","WP_049785309.1",298,"sugar ABC transporter permease"
"chromosome","NZ_CP058277.1",14237,15673,"-",,,"HXW97_RS00065","WP_202097580.1",478,"extracellular solute-binding protein"
"chromosome","NZ_CP058277.1",15684,16211,"-",,,"HXW97_RS00070","WP_012395780.1",175,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP058277.1",16453,17121,"+",,,"HXW97_RS00075","WP_202097581.1",222,"DUF4190 domain-containing protein"
"chromosome","NZ_CP058277.1",17221,18528,"+",,,"HXW97_RS00080","WP_012395782.1",435,"MULTISPECIES: magnesium transporter"
"chromosome","NZ_CP058277.1",18525,19055,"+",,,"HXW97_RS00085","WP_012395783.1",176,"DUF1003 domain-containing protein"
"chromosome","NZ_CP058277.1",19174,20526,"+",,,"HXW97_RS00090","WP_202097582.1",450,"lytic murein transglycosylase"
