#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NZ_CP011118.1",1,1389,"+",61793391,"dnaA","FORC2_RS00005","WP_005161100.1",462,"MULTISPECIES: chromosomal replication initiator protein DnaA"
"chromosome","NZ_CP011118.1",1394,2494,"+",61793392,"dnaN","FORC2_RS00010","WP_005161099.1",366,"DNA polymerase III subunit beta"
"chromosome","NZ_CP011118.1",2659,3744,"+",61793393,"recF","FORC2_RS00015","WP_019081463.1",361,"MULTISPECIES: DNA replication/repair protein RecF"
"chromosome","NZ_CP011118.1",3764,6178,"+",61793394,"gyrB","FORC2_RS00020","WP_019081462.1",804,"DNA topoisomerase (ATP-hydrolyzing) subunit B"
"chromosome","NZ_CP011118.1",6345,7154,"+",61793395,"yidA","FORC2_RS00025","WP_019081461.1",269,"sugar-phosphatase"
"chromosome","NZ_CP011118.1",7269,8150,"-",61793396,,"FORC2_RS00030","WP_046051934.1",293,"ROK family protein"
"chromosome","NZ_CP011118.1",8227,9162,"-",61793397,,"FORC2_RS00035","WP_046051933.1",311,"ornithine cyclodeaminase family protein"
"chromosome","NZ_CP011118.1",9159,10118,"-",61793398,,"FORC2_RS00040","WP_019084185.1",319,"threonine/serine dehydratase"
"chromosome","NZ_CP011118.1",10260,11561,"+",61793399,,"FORC2_RS00045","WP_046694350.1",433,"DUF3748 domain-containing protein"
"chromosome","NZ_CP011118.1",11563,11901,"-",61793400,,"FORC2_RS00050","WP_019084183.1",112,"YceK/YidQ family lipoprotein"
"chromosome","NZ_CP011118.1",12284,12697,"+",61793401,"ibpA","FORC2_RS00055","WP_046694351.1",137,"MULTISPECIES: heat shock chaperone IbpA"
"chromosome","NZ_CP011118.1",12822,13295,"+",61793402,"ibpB","FORC2_RS00060","WP_005161076.1",157,"MULTISPECIES: heat shock chaperone IbpB"
"chromosome","NZ_CP011118.1",13559,15217,"+",61793403,,"FORC2_RS00065","WP_019081455.1",552,"MULTISPECIES: putative transporter"
"chromosome","NZ_CP011118.1",15394,16647,"-",61793404,,"FORC2_RS00070","WP_019081454.1",417,"valine--pyruvate transaminase"
"chromosome","NZ_CP011118.1",16782,18848,"-",61793405,,"FORC2_RS00075","WP_019084181.1",688,"alpha-amylase"
"chromosome","NZ_CP011118.1",19002,19982,"-",61793406,"ghrB","FORC2_RS00080","WP_046694352.1",326,"glyoxylate/hydroxypyruvate reductase GhrB"
"chromosome","NZ_CP011118.1",20138,21580,"-",61793407,,"FORC2_RS00085","WP_046695631.1",480,"MFS transporter"
"chromosome","NZ_CP011118.1",21766,22410,"+",61793408,,"FORC2_RS00090","WP_046694353.1",214,"transcriptional regulator"
"chromosome","NZ_CP011118.1",22488,23147,"-",61793409,,"FORC2_RS00095","WP_019081450.1",219,"OmpA family lipoprotein"
"chromosome","NZ_CP011118.1",23409,25376,"-",61793410,,"FORC2_RS00100","WP_046695632.1",655,"GNAT family N-acetyltransferase"
"chromosome","NZ_CP011118.1",25666,27108,"-",61793411,,"FORC2_RS00105","WP_046051928.1",480,"GNAT family N-acetyltransferase"
"chromosome","NZ_CP011118.1",27229,27684,"-",61793412,,"FORC2_RS00110","WP_046694354.1",151,"N-acetyltransferase"
"chromosome","NZ_CP011118.1",27681,28253,"-",61793413,,"FORC2_RS00115","WP_046694355.1",190,"DNA-3-methyladenine glycosylase I"
"chromosome","NZ_CP011118.1",28508,29422,"+",61793414,"glyQ","FORC2_RS00120","WP_005175094.1",304,"MULTISPECIES: glycine--tRNA ligase subunit alpha"
"chromosome","NZ_CP011118.1",29432,31501,"+",61793415,"glyS","FORC2_RS00125","WP_019081445.1",689,"glycine--tRNA ligase subunit beta"
"chromosome","NZ_CP011118.1",31624,32343,"+",61793416,,"FORC2_RS00130","WP_005175086.1",239,"DUF3053 domain-containing protein"
"chromosome","NZ_CP011118.1",33422,35344,"+",61793417,,"FORC2_RS00135","WP_019084175.1",640,"PTS mannitol transporter subunit IICBA"
"chromosome","NZ_CP011118.1",35419,36579,"+",61793418,,"FORC2_RS00140","WP_019081443.1",386,"mannitol-1-phosphate 5-dehydrogenase"
"chromosome","NZ_CP011118.1",36676,37230,"+",61793419,,"FORC2_RS00145","WP_005161972.1",184,"MULTISPECIES: mannitol operon repressor"
"chromosome","NZ_CP011118.1",37227,37838,"-",61793420,,"FORC2_RS00150","WP_046051925.1",203,"LysE family translocator"
"chromosome","NZ_CP011118.1",37982,39463,"+",61793421,,"FORC2_RS00155","WP_046695633.1",493,"PLP-dependent aminotransferase family protein"
"chromosome","NZ_CP011118.1",39556,39912,"+",61793422,,"FORC2_RS00160","WP_005161962.1",118,"MULTISPECIES: YibL family ribosome-associated protein"
"chromosome","NZ_CP011118.1",40044,40271,"+",61793423,,"FORC2_RS00165","WP_005161959.1",75,"AbrB/MazE/SpoVT family DNA-binding domain-containing protein"
"chromosome","NZ_CP011118.1",40268,40687,"+",61793424,,"FORC2_RS00170","WP_046051923.1",139,"type II toxin-antitoxin system VapC family toxin"
"chromosome","NZ_CP011118.1",40843,41514,"-",61793425,"yiiM","FORC2_RS00175","WP_046694356.1",223,"6-N-hydroxylaminopurine resistance protein"
"chromosome","NZ_CP011118.1",41593,43542,"-",61793426,,"FORC2_RS00180","WP_046694357.1",649,"methyl-accepting chemotaxis protein"
"chromosome","NZ_CP011118.1",43862,44485,"-",61793427,"sodA","FORC2_RS00185","WP_013650637.1",207,"MULTISPECIES: superoxide dismutase"
"chromosome","NZ_CP011118.1",44612,45481,"-",61793428,"fdhD","FORC2_RS00190","WP_046694358.1",289,"formate dehydrogenase accessory sulfurtransferase FdhD"
"chromosome","NZ_CP011118.1",45669,48716,"+",61793429,"fdnG","FORC2_RS00200","WP_098057381.1",1015,"formate dehydrogenase-N subunit alpha"
"chromosome","NZ_CP011118.1",48729,49700,"+",61793430,"fdxH","FORC2_RS00205","WP_046694359.1",323,"formate dehydrogenase subunit beta"
"chromosome","NZ_CP011118.1",49697,50347,"+",61793431,"fdoI","FORC2_RS00210","WP_005161937.1",216,"MULTISPECIES: formate dehydrogenase cytochrome b556 subunit"
