#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"Un","NZ_UYIP01000001.1",7033,7968,"-",,,"H8201_RS00120","WP_000844514.1",311,"bifunctional biotin-"
"Un","NZ_UYIP01000001.1",7965,8825,"-",,,"H8201_RS00125","WP_000959971.1",286,"AraC family transcriptional regulator"
"Un","NZ_UYIP01000001.1",8933,11095,"+",,,"H8201_RS00130","WP_000538938.1",720,"alpha-galactosidase"
"Un","NZ_UYIP01000001.1",11130,12389,"+",,,"H8201_RS00135","WP_000455429.1",419,"extracellular solute-binding protein"
"Un","NZ_UYIP01000001.1",12403,13269,"+",,,"H8201_RS00140","WP_000757169.1",288,"sugar ABC transporter permease"
"Un","NZ_UYIP01000001.1",13283,14116,"+",,,"H8201_RS00145","WP_000806561.1",277,"carbohydrate ABC transporter permease"
"Un","NZ_UYIP01000001.1",14427,15869,"+",,"gtfA","H8201_RS00150","WP_001122332.1",480,"sucrose phosphorylase"
"Un","NZ_UYIP01000001.1",16007,17200,"+",,,"H8201_RS00155","WP_000835622.1",397,"MULTISPECIES: O-antigen ligase family protein"
"Un","NZ_UYIP01000001.1",17886,19865,"+",,,"H8201_RS00160","WP_000742234.1",659,"MULTISPECIES: peptide ABC transporter substrate-binding protein"
"Un","NZ_UYIP01000001.1",19932,21428,"+",,,"H8201_RS00165","WP_000759905.1",498,"MULTISPECIES: ABC transporter permease"
"Un","NZ_UYIP01000001.1",21428,22354,"+",,,"H8201_RS00170","WP_000103700.1",308,"MULTISPECIES: ABC transporter permease"
"Un","NZ_UYIP01000001.1",22363,23430,"+",,,"H8201_RS00175","WP_000159552.1",355,"ABC transporter ATP-binding protein"
"Un","NZ_UYIP01000001.1",23441,24367,"+",,,"H8201_RS00180","WP_001291296.1",308,"MULTISPECIES: ABC transporter ATP-binding protein"
"Un","NZ_UYIP01000001.1",26697,27500,"+",,,"H8201_RS00195","WP_000157674.1",267,"ATP-binding cassette domain-containing protein"
"Un","NZ_UYIP01000001.1",27533,28243,"-",,"treR","H8201_RS00200","WP_000760672.1",236,"trehalose operon repressor"
"Un","NZ_UYIP01000001.1",28428,30395,"+",,"treP","H8201_RS00205","WP_000514358.1",655,"PTS system trehalose-specific EIIBC component"
"Un","NZ_UYIP01000001.1",30573,32198,"+",,"treC","H8201_RS00210","WP_000171223.1",541,"alpha,alpha-phosphotrehalase"
"Un","NZ_UYIP01000001.1",32454,32702,"+",,,"H8201_RS00215","WP_000364990.1",82,"MULTISPECIES: YneF family protein"
"Un","NZ_UYIP01000001.1",32909,33703,"+",,"racE","H8201_RS00220","WP_000370376.1",264,"MULTISPECIES: glutamate racemase"
"Un","NZ_UYIP01000001.1",33700,34671,"+",,,"H8201_RS00225","WP_000182412.1",323,"nucleoside-triphosphate diphosphatase"
"Un","NZ_UYIP01000001.1",34647,35168,"+",,,"H8201_RS00230","WP_001118963.1",173,"metallophosphoesterase"
"Un","NZ_UYIP01000001.1",35165,35626,"+",,,"H8201_RS00235","WP_000560725.1",153,"MULTISPECIES: CBS domain-containing protein"
"Un","NZ_UYIP01000001.1",35617,36357,"+",,"xerD","H8201_RS00240","WP_001132186.1",246,"site-specific tyrosine recombinase XerD"
"Un","NZ_UYIP01000001.1",36357,37085,"+",,,"H8201_RS00245","WP_000351907.1",242,"MULTISPECIES: segregation/condensation protein A"
"Un","NZ_UYIP01000001.1",37104,37673,"+",,,"H8201_RS00250","WP_000105310.1",189,"MULTISPECIES: segregation/condensation protein B"
"Un","NZ_UYIP01000001.1",37660,38382,"+",,,"H8201_RS00255","WP_001222228.1",240,"MULTISPECIES: rRNA pseudouridine synthase"
"Un","NZ_UYIP01000001.1",38382,38624,"+",,"yidD","H8201_RS00260","WP_000821640.1",80,"MULTISPECIES: membrane protein insertion efficiency factor YidD"
"Un","NZ_UYIP01000001.1",38849,39814,"-",,,"H8201_RS00265","WP_000858252.1",321,"siderophore ABC transporter substrate-binding protein"
"Un","NZ_UYIP01000001.1",39910,40662,"-",,,"H8201_RS00270","WP_000764303.1",250,"MULTISPECIES: ATP-binding cassette domain-containing protein"
"Un","NZ_UYIP01000001.1",40659,41615,"-",,,"H8201_RS00275","WP_001193661.1",318,"iron chelate uptake ABC transporter family permease subunit"
"Un","NZ_UYIP01000001.1",41605,42564,"-",,,"H8201_RS00280","WP_000777248.1",319,"ABC transporter permease"
"Un","NZ_UYIP01000001.1",42987,43688,"-",,,"H8201_RS00285","WP_185927464.1",233,"UDP-glucose 4-epimerase"
"Un","NZ_UYIP01000001.1",44088,45152,"+",,"pepA","H8201_RS00290","WP_000209199.1",354,"MULTISPECIES: glutamyl aminopeptidase"
"Un","NZ_UYIP01000001.1",45174,45470,"+",,,"H8201_RS00295","WP_000230152.1",98,"hypothetical protein"
"Un","NZ_UYIP01000001.1",46152,46595,"+",,,"H8201_RS00300","WP_001205658.1",147,"MarR family transcriptional regulator"
"Un","NZ_UYIP01000001.1",46599,47363,"+",,,"H8201_RS00305","WP_000082884.1",254,"nuclear transport factor 2 family protein"
"Un","NZ_UYIP01000001.1",47378,48106,"+",,,"H8201_RS00310","WP_000575209.1",242,"MULTISPECIES: ABC transporter ATP-binding protein"
"Un","NZ_UYIP01000001.1",48099,49619,"+",,,"H8201_RS00315","WP_000182965.1",506,"ABC transporter permease/substrate-binding protein"
"Un","NZ_UYIP01000001.1",49964,50770,"+",,,"H8201_RS00320","WP_000557779.1",268,"MULTISPECIES: nicotinamide riboside transporter PnuC"
"Un","NZ_UYIP01000001.1",50937,51473,"-",,,"H8201_RS00325","WP_000181689.1",178,"TetR/AcrR family transcriptional regulator"
"Un","NZ_UYIP01000001.1",51606,52496,"+",,,"H8201_RS00330","WP_000645106.1",296,"MULTISPECIES: cation transporter"
"Un","NZ_UYIP01000001.1",52740,53093,"+",,,"H8201_RS00335","WP_001022629.1",117,"MULTISPECIES: MerR family transcriptional regulator"
"Un","NZ_UYIP01000001.1",53094,54131,"+",,,"H8201_RS00340","WP_000833742.1",345,"alcohol dehydrogenase catalytic domain-containing protein"
"Un","NZ_UYIP01000001.1",54177,55184,"-",,"galR","H8201_RS00345","WP_000212522.1",335,"MULTISPECIES: DNA-binding transcriptional regulator GalR"
