#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome 1","NZ_LR134352.1",127,1116,"+",,,"EL493_RS00010","WP_019049376.1",329,"pirin family protein"
"chromosome 1","NZ_LR134352.1",1155,1634,"-",,,"EL493_RS00015","WP_019049377.1",159,"SRPBCC family protein"
"chromosome 1","NZ_LR134352.1",1631,1963,"-",,,"EL493_RS00020","WP_019049378.1",110,"helix-turn-helix transcriptional regulator"
"chromosome 1","NZ_LR134352.1",2083,3339,"+",,,"EL493_RS00025","WP_019049379.1",418,"FAD-dependent oxidoreductase"
"chromosome 1","NZ_LR134352.1",3449,4141,"+",,,"EL493_RS00030","WP_019049380.1",230,"hypothetical protein"
"chromosome 1","NZ_LR134352.1",4145,4987,"-",,,"EL493_RS00035","WP_019049381.1",280,"helix-turn-helix domain-containing protein"
"chromosome 1","NZ_LR134352.1",5088,6101,"+",,,"EL493_RS00040","WP_019049382.1",337,"aldo/keto reductase"
"chromosome 1","NZ_LR134352.1",6151,6843,"+",,,"EL493_RS00045","WP_040872650.1",230,"hypothetical protein"
"chromosome 1","NZ_LR134352.1",6857,7387,"-",,,"EL493_RS00050","WP_019049384.1",176,"CGNR zinc finger domain-containing protein"
"chromosome 1","NZ_LR134352.1",7426,8418,"+",,,"EL493_RS00055","WP_019049385.1",330,"DMT family transporter"
"chromosome 1","NZ_LR134352.1",8717,9166,"-",,"cynS","EL493_RS00060","WP_022566201.1",149,"cyanase"
"chromosome 1","NZ_LR134352.1",9324,10148,"+",,,"EL493_RS00065","WP_019049387.1",274,"formate/nitrite transporter family protein"
"chromosome 1","NZ_LR134352.1",10204,11400,"+",,,"EL493_RS00070","WP_022566200.1",398,"Fic family protein"
"chromosome 1","NZ_LR134352.1",11433,12245,"+",,,"EL493_RS00075","WP_019049389.1",270,"hypothetical protein"
"chromosome 1","NZ_LR134352.1",12303,16256,"-",,,"EL493_RS00080","WP_019049390.1",1317,"DNA-directed RNA polymerase subunit beta\\'"
"chromosome 1","NZ_LR134352.1",16356,19856,"-",,,"EL493_RS00085","WP_030201190.1",1166,"DNA-directed RNA polymerase subunit beta"
"chromosome 1","NZ_LR134352.1",20390,21460,"-",,,"EL493_RS00090","WP_022566197.1",356,"ABC transporter ATP-binding protein"
"chromosome 1","NZ_LR134352.1",21703,22089,"-",,"rplL","EL493_RS00095","WP_019049393.1",128,"50S ribosomal protein L7/L12"
"chromosome 1","NZ_LR134352.1",22150,22680,"-",,"rplJ","EL493_RS00100","WP_019049394.1",176,"50S ribosomal protein L10"
"chromosome 1","NZ_LR134352.1",23081,24694,"+",,,"EL493_RS00105","WP_030201193.1",537,"MFS transporter"
"chromosome 1","NZ_LR134352.1",24773,25486,"-",,"rplA","EL493_RS00110","WP_019049396.1",237,"MULTISPECIES: 50S ribosomal protein L1"
"chromosome 1","NZ_LR134352.1",25566,26000,"-",,"rplK","EL493_RS00115","WP_019049397.1",144,"MULTISPECIES: 50S ribosomal protein L11"
"chromosome 1","NZ_LR134352.1",26241,27035,"-",,"nusG","EL493_RS00120","WP_019049398.1",264,"transcription termination/antitermination protein NusG"
