#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NZ_CP009360.4",101,1630,"+",61324662,"dnaA","KV38_RS00005","WP_033718848.1",509,"chromosomal replication initiator protein DnaA"
"chromosome","NZ_CP009360.4",2057,3222,"-",61324663,,"KV38_RS00010","WP_095884802.1",387,"IS3 family transposase"
"chromosome","NZ_CP009360.4",3472,4671,"+",61324664,"dnaN","KV38_RS00015","WP_009974147.1",399,"MULTISPECIES: DNA polymerase III subunit beta"
"chromosome","NZ_CP009360.4",4672,5829,"+",61324665,"recF","KV38_RS00020","WP_019733260.1",385,"MULTISPECIES: DNA replication/repair protein RecF"
"chromosome","NZ_CP009360.4",5826,6371,"+",61324666,,"KV38_RS00025","WP_029248331.1",181,"MULTISPECIES: DUF721 family protein"
"chromosome","NZ_CP009360.4",6630,8663,"+",61324667,"gyrB","KV38_RS00030","WP_009974152.1",677,"MULTISPECIES: DNA topoisomerase (ATP-hydrolyzing) subunit B"
"chromosome","NZ_CP009360.4",8675,11194,"+",61324668,"gyrA","KV38_RS00035","WP_011723278.1",839,"MULTISPECIES: DNA gyrase subunit A"
"chromosome","NZ_CP009360.4",11297,12160,"+",61324669,,"KV38_RS00040","WP_011723279.1",287,"MULTISPECIES: DUF3566 domain-containing protein"
"chromosome","NZ_CP009360.4",12653,13840,"+",61324672,,"KV38_RS00055","WP_033718849.1",395,"IS481-like element ISMav5 family transposase"
"chromosome","NZ_CP009360.4",13857,14480,"-",61324673,,"KV38_RS00060","WP_033718850.1",207,"TetR/AcrR family transcriptional regulator"
"chromosome","NZ_CP009360.4",14677,15891,"+",61324674,,"KV38_RS00065","WP_011723280.1",404,"cytochrome P450"
"chromosome","NZ_CP009360.4",15893,16327,"-",61324675,"cwsA","KV38_RS00070","WP_019732995.1",144,"MULTISPECIES: cell wall synthesis protein CwsA"
"chromosome","NZ_CP009360.4",16418,16966,"+",61324676,,"KV38_RS00075","WP_009974159.1",182,"MULTISPECIES: peptidylprolyl isomerase"
"chromosome","NZ_CP009360.4",16987,17403,"-",61324677,,"KV38_RS00080","WP_031349158.1",138,"PH domain-containing protein"
"chromosome","NZ_CP009360.4",17559,17840,"-",61324678,"crgA","KV38_RS00085","WP_003872098.1",93,"MULTISPECIES: cell division protein CrgA"
"chromosome","NZ_CP009360.4",17971,18714,"+",61324679,,"KV38_RS00090","WP_003876787.1",247,"MULTISPECIES: DUF881 domain-containing protein"
"chromosome","NZ_CP009360.4",18763,19449,"+",61324680,,"KV38_RS00095","WP_009974170.1",228,"MULTISPECIES: aminodeoxychorismate/anthranilate synthase component II"
"chromosome","NZ_CP009360.4",19427,21307,"-",61324681,"pknB","KV38_RS00100","WP_003872101.1",626,"MULTISPECIES: Stk1 family PASTA domain-containing Ser/Thr kinase"
"chromosome","NZ_CP009360.4",21304,22587,"-",61324682,,"KV38_RS00105","WP_003872102.1",427,"MULTISPECIES: serine/threonine protein kinase"
"chromosome","NZ_CP009360.4",22584,24062,"-",61324683,"pbpA","KV38_RS00110","WP_003876791.1",492,"MULTISPECIES: D,D-transpeptidase PbpA"
"chromosome","NZ_CP009360.4",24059,25468,"-",61324684,,"KV38_RS00115","WP_023868793.1",469,"FtsW/RodA/SpoVE family cell cycle protein"
"chromosome","NZ_CP009360.4",25465,26964,"-",61324685,,"KV38_RS00120","WP_023868794.1",499,"protein phosphatase 2C domain-containing protein"
"chromosome","NZ_CP009360.4",27029,27496,"-",61324686,,"KV38_RS00125","WP_003872106.1",155,"MULTISPECIES: FHA domain-containing protein"
"chromosome","NZ_CP009360.4",27621,29258,"-",61324687,,"KV38_RS00130","WP_033718855.1",545,"MULTISPECIES: DUF3662 domain-containing protein"
"chromosome","NZ_CP009360.4",29691,30194,"-",61324689,,"KV38_RS00140","WP_033718857.1",167,"DinB family protein"
"chromosome","NZ_CP009360.4",30420,30683,"+",61324690,,"KV38_RS00145","WP_003872109.1",87,"MULTISPECIES: acyl carrier protein"
"chromosome","NZ_CP009360.4",30680,32236,"+",61324691,"mbtM","KV38_RS00150","WP_071321347.1",518,"long-chain-fatty acid--ACP ligase MbtM"
"chromosome","NZ_CP009360.4",32391,34292,"+",61324692,,"KV38_RS00155","WP_071321348.1",633,"TNT domain-containing protein"
"chromosome","NZ_CP009360.4",34514,34768,"+",61324693,,"KV38_RS00160","WP_016705393.1",84,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP009360.4",35144,36379,"-",61324694,,"KV38_RS00165","WP_062890109.1",411,"IS256 family transposase"
"chromosome","NZ_CP009360.4",36921,37352,"+",61324695,,"KV38_RS00170","WP_080683589.1",143,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP009360.4",37412,38878,"-",61324696,,"KV38_RS00175","WP_019733492.1",488,"MULTISPECIES: IS1634 family transposase"
"chromosome","NZ_CP009360.4",39813,41057,"-",61324697,,"KV38_RS00180","WP_033719246.1",414,"HNH endonuclease"
"chromosome","NZ_CP009360.4",41112,41441,"-",61324698,,"KV38_RS00185","WP_011723301.1",109,"MULTISPECIES: N-acetyltransferase"
"chromosome","NZ_CP009360.4",41428,42420,"-",61324699,,"KV38_RS00190","WP_023862089.1",330,"MULTISPECIES: pirin family protein"
"chromosome","NZ_CP009360.4",42426,43808,"-",61324700,,"KV38_RS00195","WP_003875500.1",460,"MULTISPECIES: acyl-CoA dehydrogenase family protein"
"chromosome","NZ_CP009360.4",43902,44318,"-",61324701,,"KV38_RS00200","WP_009974199.1",138,"MULTISPECIES: WhiB family transcriptional regulator"
"chromosome","NZ_CP009360.4",44461,45249,"+",61324702,,"KV38_RS00205","WP_033719245.1",262,"helix-turn-helix transcriptional regulator"
"chromosome","NZ_CP009360.4",45246,46073,"+",61324703,,"KV38_RS00210","WP_033719244.1",275,"C40 family peptidase"
"chromosome","NZ_CP009360.4",46122,46484,"+",61324704,,"KV38_RS00215","WP_033719243.1",120,"DUF4226 domain-containing protein"
"chromosome","NZ_CP009360.4",46600,48051,"+",61324705,,"KV38_RS00220","WP_033719242.1",483,"DUF4226 domain-containing protein"
"chromosome","NZ_CP009360.4",48102,48419,"+",61324706,,"KV38_RS00225","WP_003874762.1",105,"MULTISPECIES: ESX-1 secretion-associated protein"
"chromosome","NZ_CP009360.4",48416,48727,"+",61324707,,"KV38_RS00230","WP_009974204.1",103,"MULTISPECIES: DUF2694 family protein"
