NP_214517.1	WP_066345481.1
NP_214519.2	WP_066342594.1
NP_214627.1	WP_066343579.1
NP_214631.1	WP_066345947.1
NP_214631.1	WP_066344496.1
NP_214654.1	WP_066343230.1
NP_214662.1	WP_066344652.1
NP_214722.1	WP_066343836.1
NP_214725.1	WP_066348424.1
NP_214756.1	WP_066346682.1
NP_214766.1	WP_066345742.1
NP_214864.1	WP_066345490.1
NP_214871.1	WP_066347278.1
NP_214888.1	WP_066342695.1
NP_214898.1	WP_066347042.1
NP_214900.1	WP_066344373.1
NP_214914.1	WP_066345189.1
NP_214954.1	WP_066344151.1
NP_214979.1	WP_066345158.1
NP_214988.1	WP_066344267.1
NP_215005.1	WP_066346443.1
NP_215005.1	WP_066345219.1
NP_215005.1	WP_066347400.1
NP_215005.1	WP_066348943.1
NP_215008.2	WP_066344116.1
NP_215008.2	WP_066346799.1
NP_215080.1	WP_066343515.1
NP_215100.1	WP_066343250.1
NP_215100.1	WP_066343438.1
NP_215116.1	WP_066342679.1
NP_215116.1	WP_066347010.1
NP_215267.1	WP_066346754.1
NP_215271.1	WP_066342679.1
NP_215283.1	WP_066344846.1
NP_215287.1	WP_066343403.1
NP_215294.1	WP_066345133.1
NP_215299.1	WP_066344237.1
NP_215307.1	WP_066344116.1
NP_215335.1	WP_066345646.1
NP_215343.1	WP_066348389.1
NP_215359.1	WP_066344373.1
NP_215386.1	WP_006220277.1
NP_215405.1	WP_066344373.1
NP_215418.1	WP_066342679.1
NP_215418.1	WP_066346443.1
NP_215418.1	WP_066347010.1
NP_215435.1	WP_066348196.1
NP_215448.1	WP_066345646.1
NP_215467.1	WP_066347430.1
NP_215472.1	WP_066345311.1
NP_215488.1	WP_066342773.1
NP_215489.1	WP_066342776.1
NP_215496.2	WP_066342679.1
NP_215496.2	WP_066347400.1
NP_215496.2	WP_066347010.1
NP_215496.2	WP_066345285.1
NP_215496.2	WP_066346443.1
NP_215508.1	WP_066345326.1
NP_214516.1	WP_003853309.1
NP_214520.1	WP_003853320.1
NP_214525.1	WP_003849883.1
NP_214528.1	WP_014307092.1
NP_214531.1	WP_014301108.1
NP_214538.1	WP_014303642.1
NP_214567.1	WP_003853145.1
NP_214568.1	WP_003853143.1
NP_214583.1	WP_014310477.1
NP_214607.1	WP_010934624.1
NP_214607.1	WP_004567129.1
NP_214624.1	WP_014307720.1
NP_214651.1	WP_010935710.1
NP_214658.1	WP_003852595.1
NP_214658.1	WP_010934950.1
NP_214768.1	WP_014303646.1
NP_214787.1	WP_014301635.1
NP_214835.1	WP_014304001.1
NP_214838.1	WP_014310701.1
NP_214865.1	WP_010935590.1
NP_214867.1	WP_014303972.1
NP_214871.1	WP_014303923.1
NP_214874.1	WP_004567033.1
NP_214894.1	WP_014309627.1
NP_214900.1	WP_004567424.1
NP_214906.1	WP_014303393.1
NP_214923.1	WP_003853004.1
NP_214930.1	WP_014302657.1
NP_214943.1	WP_003852985.1
NP_214943.1	WP_014301951.1
NP_214944.1	WP_003852983.1
NP_214946.1	WP_003853202.1
NP_214947.1	WP_014311565.1
NP_214976.1	WP_004566447.1
NP_214979.1	WP_004566448.1
NP_214987.2	WP_014302861.1
NP_214990.1	WP_014302862.1
NP_214992.1	WP_014302786.1
NP_214998.1	WP_003850105.1
NP_215010.3	WP_014307915.1
NP_215022.1	WP_014301360.1
NP_215023.1	WP_010934271.1
NP_215024.1	WP_010934272.1
NP_215025.2	WP_014302060.1
NP_215039.1	WP_004566627.1
NP_215040.1	WP_003853288.1
NP_215056.1	WP_004566641.1
NP_215070.1	WP_004566647.1
NP_215075.1	WP_014301384.1
NP_215076.1	WP_004566654.1
NP_215078.1	WP_010934824.1
NP_215116.1	WP_010935447.1
NP_215116.1	WP_014308146.1
NP_215153.1	WP_004566657.1
NP_215154.1	WP_004566658.1
NP_215155.1	WP_004566660.1
NP_215165.1	WP_004566661.1
NP_215166.1	WP_004566663.1
NP_215196.1	WP_004566706.1
NP_215197.1	WP_004566708.1
NP_215199.1	WP_004566712.1
NP_215214.1	WP_003848085.1
NP_215215.1	WP_004566722.1
NP_215216.1	WP_010934329.1
NP_215217.1	WP_004566725.1
NP_215219.1	WP_004566728.1
NP_215220.1	WP_004566729.1
NP_215221.1	WP_004566730.1
NP_215222.1	WP_004566732.1
NP_215223.1	WP_004566751.1
NP_215224.1	WP_004566753.1
NP_215228.1	WP_004566763.1
NP_215229.1	WP_004566765.1
NP_215230.1	WP_014303592.1
NP_215230.1	WP_004566766.1
NP_215232.1	WP_014301438.1
NP_215233.1	WP_004566822.1
NP_215234.1	WP_014301439.1
NP_215235.1	WP_004566825.1
NP_215236.1	WP_004566826.1
NP_215237.1	WP_004566828.1
NP_215246.1	WP_010934368.1
NP_215271.1	WP_010935447.1
NP_215271.1	WP_014308146.1
NP_215272.1	WP_014303829.1
NP_215273.3	WP_010935444.1
NP_215322.1	WP_014302308.1
NP_215324.1	WP_014310775.1
NP_215325.1	WP_003852791.1
NP_215328.1	WP_014302302.1
NP_215330.1	WP_010934451.1
NP_215336.1	WP_010935421.1
NP_215374.1	WP_014307438.1
NP_215376.3	WP_010934543.1
NP_215378.2	WP_014301577.1
NP_215379.1	WP_014310008.1
NP_215382.1	WP_010934546.1
NP_215382.1	WP_014306689.1
NP_215382.1	WP_010935576.1
NP_215385.1	WP_014306665.1
NP_215386.1	WP_003850654.1
NP_215386.1	WP_003850453.1
NP_215392.1	WP_010934549.1
NP_215396.1	WP_014306646.1
NP_215405.1	WP_004567424.1
NP_215405.1	WP_010934320.1
NP_215418.1	WP_014308146.1
NP_215418.1	WP_010935447.1
NP_215424.1	WP_003850040.1
NP_215426.1	WP_014301205.1
NP_215463.1	WP_003850709.1
NP_215488.1	WP_003850583.1
NP_215496.2	WP_014308146.1
NP_215496.2	WP_010935447.1
NP_215498.1	WP_014308148.1
NP_215499.1	WP_014306681.1
NP_215501.1	WP_014307231.1
NP_215504.1	WP_004566654.1
NP_215508.1	WP_003850756.1
NP_214587.1	NP_415330.1
NP_214587.1	NP_415385.1
NP_214627.1	NP_414757.1
NP_214736.1	NP_414578.2
NP_214842.1	NP_415317.4
NP_214864.1	NP_414555.1
NP_214898.1	NP_415403.1
NP_215006.2	NP_414845.1
NP_215026.1	NP_414903.4
NP_215038.1	NP_414696.1
NP_215080.1	NP_414960.2
NP_215100.1	NP_414655.1
NP_215114.2	NP_415102.1
NP_215127.1	NP_414640.1
NP_215299.1	NP_414585.1
NP_215379.1	NP_415304.1
NP_215386.1	NP_415156.1
NP_215405.1	NP_415068.1
NP_215411.1	NP_415248.1
NP_215466.1	NP_415256.1
NP_215467.1	NP_415257.1
NP_215484.3	NP_415017.1
NP_215496.2	NP_415103.1
NP_215496.2	NP_415222.1
NP_215501.1	NP_415028.1
NP_215501.1	NP_415330.1
NP_214533.1	WP_019044286.1
NP_214536.1	WP_019044565.1
NP_214538.1	WP_019045274.1
NP_214556.1	WP_019044735.1
NP_214579.1	WP_019045202.1
NP_214581.1	WP_019045559.1
NP_214582.1	WP_019045552.1
NP_214582.1	WP_019044894.1
NP_214587.1	WP_019044385.1
NP_214592.1	WP_019045230.1
NP_214595.1	WP_019045595.1
NP_214606.1	WP_019044373.1
NP_214606.1	WP_019045660.1
NP_214617.1	WP_019044373.1
NP_214634.1	WP_019045572.1
NP_214645.1	WP_019044876.1
NP_214649.1	WP_019045315.1
NP_214649.1	WP_019044743.1
NP_214658.1	WP_019044699.1
NP_214662.1	WP_019045236.1
NP_214662.1	WP_019044756.1
NP_214662.1	WP_019044781.1
NP_214668.1	WP_019044876.1
NP_214670.1	WP_019045334.1
NP_214672.1	WP_019044481.1
NP_214681.1	WP_019044782.1
NP_214681.1	WP_019045462.1
NP_214704.1	WP_019045120.1
NP_214736.1	WP_019044771.1
NP_214743.2	WP_019044697.1
NP_214749.1	WP_019044370.1
NP_214752.1	WP_019044774.1
NP_214755.1	WP_019045581.1
NP_214787.1	WP_019044743.1
NP_214805.1	WP_019045103.1
NP_214805.1	WP_019045127.1
NP_214816.1	WP_019045424.1
NP_214848.1	WP_019044443.1
NP_214853.1	WP_019044665.1
NP_214898.1	WP_019044654.1
NP_214900.1	WP_019044665.1
NP_214900.1	WP_019045532.1
NP_214953.1	WP_019045552.1
NP_214953.1	WP_019044894.1
NP_214954.1	WP_019045170.1
NP_214959.1	WP_019045172.1
NP_214999.1	WP_019044504.1
NP_215005.1	WP_019045310.1
NP_215005.1	WP_019044947.1
NP_215005.1	WP_019045527.1
NP_215047.1	WP_019045518.1
NP_215049.1	WP_019045121.1
NP_215068.1	WP_019045596.1
NP_215079.1	WP_019045474.1
NP_215079.1	WP_019045542.1
NP_215087.1	WP_019045436.1
NP_215090.1	WP_019045595.1
NP_215096.1	WP_019045027.1
NP_215101.1	WP_019044782.1
NP_215101.1	WP_019045462.1
NP_215110.1	WP_019044533.1
NP_215114.2	WP_019044792.1
NP_215116.1	WP_019044793.1
NP_215116.1	WP_019045310.1
NP_215116.1	WP_019044947.1
NP_215150.1	WP_019045581.1
NP_215171.1	WP_019045262.1
NP_215183.1	WP_019044927.1
NP_215205.1	WP_019045315.1
NP_215205.1	WP_019044670.1
NP_215214.1	WP_003938093.1
NP_215215.1	WP_019045016.1
NP_215216.1	WP_019045017.1
NP_215217.1	WP_019045018.1
NP_215218.1	WP_019045019.1
NP_215219.1	WP_019045020.1
NP_215220.1	WP_019045021.1
NP_215221.1	WP_019045022.1
NP_215222.1	WP_019045023.1
NP_215223.1	WP_019045024.1
NP_215224.1	WP_019045025.1
NP_215228.1	WP_019045060.1
NP_215229.1	WP_019045061.1
NP_215230.1	WP_019045062.1
NP_215232.1	WP_014981717.1
NP_215233.1	WP_019045067.1
NP_215235.1	WP_019045069.1
NP_215236.1	WP_019045070.1
NP_215237.1	WP_019045071.1
NP_215247.1	WP_019045073.1
NP_215249.1	WP_019044906.1
NP_215271.1	WP_019044793.1
NP_215271.1	WP_019044947.1
NP_215272.1	WP_019044792.1
NP_215273.3	WP_019044801.1
NP_215286.1	WP_019044804.1
NP_215289.1	WP_019045255.1
NP_215289.1	WP_019044395.1
NP_215298.1	WP_019044815.1
NP_215300.2	WP_019044820.1
NP_215303.1	WP_019044822.1
NP_215316.1	WP_019045047.1
NP_215318.1	WP_019044827.1
NP_215323.1	WP_019044836.1
NP_215324.1	WP_019044841.1
NP_215325.1	WP_019044842.1
NP_215330.1	WP_019044855.1
NP_215331.1	WP_019044857.1
NP_215333.1	WP_019044859.1
NP_215334.1	WP_019044860.1
NP_215335.1	WP_019044864.1
NP_215336.1	WP_019044865.1
NP_215337.1	WP_019044867.1
NP_215342.1	WP_019045595.1
NP_215373.1	WP_019044908.1
NP_215374.1	WP_019044514.1
NP_215375.1	WP_019044515.1
NP_215376.3	WP_019044911.1
NP_215377.1	WP_019044916.1
NP_215378.2	WP_019044917.1
NP_215382.1	WP_019044918.1
NP_215385.1	WP_019044930.1
NP_215386.1	WP_019044920.1
NP_215386.1	WP_019044597.1
NP_215395.1	WP_019044929.1
NP_215396.1	WP_019044931.1
NP_215396.1	WP_019045204.1
NP_215397.1	WP_019044932.1
NP_215399.1	WP_019044935.1
NP_215405.1	WP_019044665.1
