Mycobacterium_tuberculosis_H37Rv.txt	M_avium_5000.txt	M_leprae_5000.txt	M_marinum_5000.txt	M_smegmatis_5000.txt
NP_214515.1	0	WP_010907454.1	WP_012392009.1	0
NP_214516.1	WP_009974147.1	WP_010907455.1	WP_012392010.1	0
NP_214517.1	0	WP_010907456.1,WP_010908442.1	0	0
NP_214518.1	0	WP_010907457.1	0	0
NP_214519.2	WP_009974152.1	WP_010907458.1	0	0
NP_214521.1	0	0	WP_012392015.1	0
NP_214523.1	WP_009974159.1	WP_010907463.1	WP_011738416.1	WP_003891350.1
NP_214524.1	0	WP_010907464.1	0	0
NP_214525.1	WP_003872098.1	WP_010907465.1	WP_011738418.1	WP_003891352.1
NP_214526.1	WP_003876787.1	0	0	WP_003891353.1
NP_214528.1	WP_003872101.1,WP_003872102.1	WP_010907467.1	0	WP_003891355.1
NP_214529.1	WP_003872101.1,WP_003872102.1	WP_010907467.1,WP_010907468.1	0	0
NP_214530.1	WP_003876791.1	WP_010907469.1	0	WP_003891359.1
NP_214531.1	0	WP_010907470.1	WP_012392026.1	0
NP_214532.1	0	WP_010907471.1	0	0
NP_214533.1	WP_003872106.1	WP_010907472.1	0	0
NP_214534.1	0	WP_010907473.1	0	0
NP_214536.1	WP_009974199.1	0	WP_012392048.1	0
NP_214541.1	WP_003874762.1	0	0	0
NP_214542.1	WP_009974204.1	0	0	0
NP_214544.1	WP_003874759.1	0	WP_012392056.1	0
NP_214552.1	WP_003874756.1	0	0	0
NP_214553.1	WP_003874755.1	WP_010907479.1	WP_012392061.1	0
NP_214554.2	0	WP_010907480.1	0	0
NP_214555.1	0	WP_010907481.1	0	0
NP_214556.1	WP_009974218.1	0	WP_012392065.1	0
NP_214558.1	WP_009974222.1	0	WP_012392069.1	0
NP_214560.1	0	0	WP_011738462.1	0
NP_214561.1	WP_003874738.1	0	WP_011738463.1	0
NP_214562.1	0	0	WP_012392072.1	0
NP_214563.1	0	0	WP_012392073.1	0
NP_214567.1	WP_003874732.1	0	WP_011738469.1	0
NP_214570.1	WP_009974245.1	0	WP_012392078.1	0
NP_214572.1	0	0	WP_012392079.1	0
NP_214578.1	0	WP_010907856.1	WP_012393237.1	0
NP_214580.1	0	0	WP_012392157.1	0
NP_214581.1	WP_003874323.1	0	0	WP_003895415.1,WP_003896056.1,WP_003896738.1
NP_214582.1	0	WP_010907667.1	0	WP_003892195.1,WP_003892304.1
NP_214583.1	0	WP_010908524.1	WP_012392203.1	0
NP_214584.1	0	WP_010908639.1	0	0
NP_214586.1	0	0	WP_012392212.1	0
NP_214587.1	0	0	WP_012392066.1	WP_003894112.1,WP_003894440.1,WP_003895001.1,WP_003896064.1,WP_003896717.1
NP_214590.1	WP_003878281.1	0	0	0
NP_214592.1	WP_003875325.1	WP_010907890.1	WP_011740592.1	0
NP_214595.1	WP_003877960.1	0	WP_012393480.1	0
NP_214597.1	0	0	WP_012393482.1	0
NP_214599.1	0	0	WP_012393484.1	0
NP_214601.1	0	0	WP_012393486.1	0
NP_214605.1	0	0	WP_012392247.1	0
NP_214606.1	WP_008257498.1	0	WP_012392258.1	0
NP_214607.1	0	WP_010908659.1	0	0
NP_214611.1	0	WP_010908663.1	0	0
NP_214612.1	0	WP_010908664.1	0	0
NP_214613.1	0	WP_010908665.1	0	0
NP_214616.1	WP_009975922.1	0	0	0
NP_214617.1	WP_008257498.1	0	WP_012392258.1	0
NP_214626.1	0	0	0	WP_003894915.1
NP_214630.1	WP_003874102.1	0	WP_012392302.1,WP_012392412.1	0
NP_214631.1	WP_003879129.1	0	0	WP_003893284.1,WP_003895726.1
NP_214632.1	0	0	0	WP_003891489.1
NP_214635.1	0	0	WP_011742304.1	0
NP_214641.1	0	0	WP_012392311.1	0
NP_214642.1	WP_007167169.1	0	WP_012392312.1	0
NP_214644.1	0	0	WP_012392314.1	WP_003893575.1
NP_214645.1	WP_003879057.1	0	WP_012392155.1	WP_003891434.1
NP_214647.1	0	0	WP_012392316.1	0
NP_214648.1	0	0	WP_011742287.1,WP_012393253.1	0
NP_214649.1	WP_003879063.1	0	WP_012392328.1	WP_003893527.1
NP_214651.1	WP_003874215.1	0	0	0
NP_214655.1	0	0	WP_012392333.1	0
NP_214657.1	0	0	WP_012392335.1	0
NP_214658.1	WP_003877537.1	0	WP_011739625.1,WP_011742173.1,WP_012392337.1	WP_003894914.1,WP_003895207.1
NP_214659.1	0	0	WP_012392338.1,WP_012392340.1,WP_012392874.1	0
NP_214660.1	0	0	WP_012392338.1,WP_012392340.1,WP_012392874.1,WP_012393429.1	0
NP_214661.1	0	0	WP_012392341.1	0
NP_214662.1	0	0	WP_011742271.1	0
NP_214663.1	0	0	0	WP_003893402.1
NP_214667.1	0	0	WP_012392354.1	0
NP_214668.1	WP_003879057.1	0	WP_012392155.1	WP_003891434.1
NP_214669.1	WP_003874197.1	0	WP_012392358.1	0
NP_214670.1	0	0	WP_011742254.1	WP_003891483.1
