#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome 1","NZ_LN831039.1",1,1515,"+",45741631,"dnaA","AT701_RS00005","WP_003898364.1",504,"chromosomal replication initiator protein DnaA"
"chromosome 1","NZ_LN831039.1",2110,3303,"+",45741632,"dnaN","AT701_RS00010","WP_011726602.1",397,"DNA polymerase III subunit beta"
"chromosome 1","NZ_LN831039.1",3332,4225,"+",45741633,"gnd","AT701_RS00015","WP_003891330.1",297,"decarboxylating 6-phosphogluconate dehydrogenase"
"chromosome 1","NZ_LN831039.1",4235,5389,"+",45741634,"recF","AT701_RS00020","WP_058124869.1",384,"DNA replication/repair protein RecF"
"chromosome 1","NZ_LN831039.1",5386,5970,"+",45741635,,"AT701_RS00025","WP_058124870.1",194,"DNA replication protein DciA"
"chromosome 1","NZ_LN831039.1",6202,8229,"+",45741636,"gyrB","AT701_RS00030","WP_058124871.1",675,"DNA topoisomerase (ATP-hydrolyzing) subunit B"
"chromosome 1","NZ_LN831039.1",8259,10787,"+",45741637,"gyrA","AT701_RS00035","WP_058124872.1",842,"DNA gyrase subunit A"
"chromosome 1","NZ_LN831039.1",10840,11622,"+",45741638,,"AT701_RS00040","WP_058124873.1",260,"DUF3566 domain-containing protein"
"chromosome 1","NZ_LN831039.1",12025,12825,"+",45741641,,"AT701_RS00060","WP_011726607.1",266,"siderophore-interacting protein"
"chromosome 1","NZ_LN831039.1",12829,13860,"+",45741642,,"AT701_RS00065","WP_003891337.1",343,"Fe(3+)-siderophore ABC transporter permease"
"chromosome 1","NZ_LN831039.1",13857,14915,"+",45741643,,"AT701_RS00070","WP_003891338.1",352,"iron chelate uptake ABC transporter family permease subunit"
"chromosome 1","NZ_LN831039.1",14924,15754,"+",45741644,,"AT701_RS00075","WP_011726608.1",276,"ABC transporter ATP-binding protein"
"chromosome 1","NZ_LN831039.1",15744,16703,"-",45741645,,"AT701_RS00080","WP_058127473.1",319,"methionyl-tRNA formyltransferase"
"chromosome 1","NZ_LN831039.1",16899,17135,"+",45741646,,"AT701_RS00085","WP_014876641.1",78,"MbtH family protein"
"chromosome 1","NZ_LN831039.1",17138,18865,"+",45741647,,"AT701_RS00090","WP_058124875.1",575,"ABC transporter ATP-binding protein"
"chromosome 1","NZ_LN831039.1",18862,20631,"+",45741648,,"AT701_RS00095","WP_058124876.1",589,"ABC transporter ATP-binding protein"
"chromosome 1","NZ_LN831039.1",20665,43236,"+",45741649,,"AT701_RS00100","WP_058124877.1",7523,"non-ribosomal peptide synthetase"
"chromosome 1","NZ_LN831039.1",43301,44248,"-",45741650,,"AT701_RS00105","WP_011726612.1",315,"iron-siderophore ABC transporter substrate-binding protein"
"chromosome 1","NZ_LN831039.1",44556,44966,"+",45741651,,"AT701_RS00110","WP_011726613.1",136,"aspartate 1-decarboxylase"
"chromosome 1","NZ_LN831039.1",44978,46300,"+",45741652,,"AT701_RS00115","WP_011726614.1",440,"lysine N(6)-hydroxylase/L-ornithine N(5)-oxygenase family protein"
"chromosome 1","NZ_LN831039.1",46304,46714,"-",45741653,"cwsA","AT701_RS00120","WP_058124878.1",136,"cell wall synthesis protein CwsA"
"chromosome 1","NZ_LN831039.1",46835,47362,"+",45741654,,"AT701_RS00125","WP_003891350.1",175,"peptidylprolyl isomerase"
"chromosome 1","NZ_LN831039.1",47466,47873,"-",45741655,,"AT701_RS00130","WP_011726616.1",135,"PH domain-containing protein"
"chromosome 1","NZ_LN831039.1",48029,48313,"-",45741656,"crgA","AT701_RS00135","WP_003891352.1",94,"MULTISPECIES: cell division protein CrgA"
"chromosome 1","NZ_LN831039.1",48409,49158,"+",45741657,,"AT701_RS00140","WP_003891353.1",249,"DUF881 domain-containing protein"
"chromosome 1","NZ_LN831039.1",49176,49850,"+",45741658,,"AT701_RS00145","WP_003891354.1",224,"aminodeoxychorismate/anthranilate synthase component II"
"chromosome 1","NZ_LN831039.1",49828,51705,"-",45741659,"pknB","AT701_RS00150","WP_003891355.1",625,"Stk1 family PASTA domain-containing Ser/Thr kinase"
"chromosome 1","NZ_LN831039.1",51702,52961,"-",45741660,,"AT701_RS00155","WP_011726617.1",419,"serine/threonine protein kinase"
"chromosome 1","NZ_LN831039.1",52993,54468,"-",45741661,"pbpA","AT701_RS00160","WP_003891359.1",491,"D,D-transpeptidase PbpA"
"chromosome 1","NZ_LN831039.1",54465,55880,"-",45741662,,"AT701_RS00165","WP_058124879.1",471,"FtsW/RodA/SpoVE family cell cycle protein"
"chromosome 1","NZ_LN831039.1",55877,57415,"-",45741663,,"AT701_RS00170","WP_011726619.1",512,"serine/threonine-protein phosphatase"
"chromosome 1","NZ_LN831039.1",57438,57905,"-",45741664,,"AT701_RS00175","WP_011726620.1",155,"MULTISPECIES: FHA domain-containing protein"
"chromosome 1","NZ_LN831039.1",58041,59489,"-",45741665,,"AT701_RS00180","WP_058127474.1",482,"DUF3662 domain-containing protein"
"chromosome 1","NZ_LN831039.1",60270,60644,"-",45741667,,"AT701_RS00195","WP_058124880.1",124,"DUF4267 domain-containing protein"
"chromosome 1","NZ_LN831039.1",60656,60961,"-",45741668,,"AT701_RS00200","WP_058124881.1",101,"NIPSNAP domain-containing protein"
"chromosome 1","NZ_LN831039.1",60963,61439,"-",45741669,,"AT701_RS00205","WP_058124882.1",158,"DUF1772 domain-containing protein"
"chromosome 1","NZ_LN831039.1",61515,62078,"+",45741670,,"AT701_RS00210","WP_058124883.1",187,"TetR/AcrR family transcriptional regulator"
"chromosome 1","NZ_LN831039.1",62094,62867,"-",45741671,"ygiD","AT701_RS00215","WP_058127475.1",257,"4,5-DOPA dioxygenase extradiol"
"chromosome 1","NZ_LN831039.1",63085,65163,"+",45741672,,"AT701_RS00220","WP_058124884.1",692,"hypothetical protein"
"chromosome 1","NZ_LN831039.1",65160,67628,"+",45741673,,"AT701_RS00225","WP_058124885.1",822,"hypothetical protein"
"chromosome 1","NZ_LN831039.1",67625,68782,"+",45741674,,"AT701_RS00230","WP_003891374.1",385,"hypothetical protein"
"chromosome 1","NZ_LN831039.1",68797,69732,"-",45741675,,"AT701_RS00235","WP_011726630.1",311,"hypothetical protein"
"chromosome 1","NZ_LN831039.1",69879,70382,"+",45741676,,"AT701_RS00240","WP_058124886.1",167,"PPOX class F420-dependent oxidoreductase"
"chromosome 1","NZ_LN831039.1",70384,71349,"-",45741677,,"AT701_RS00245","WP_058124887.1",321,"pirin family protein"
"chromosome 1","NZ_LN831039.1",71394,71660,"+",45741678,,"AT701_RS00250","WP_058124888.1",88,"DivIVA domain-containing protein"
"chromosome 1","NZ_LN831039.1",71849,72142,"-",45741679,,"AT701_RS00255","WP_011726633.1",97,"WhiB family transcriptional regulator"
"chromosome 1","NZ_LN831039.1",72526,73302,"+",45741680,,"AT701_RS00260","WP_058127476.1",258,"helix-turn-helix domain-containing protein"
"chromosome 1","NZ_LN831039.1",73304,74692,"-",45741681,,"AT701_RS00265","WP_058124889.1",462,"MinD/ParA family protein"
"chromosome 1","NZ_LN831039.1",75084,76661,"+",45741682,,"AT701_RS00270","WP_058124890.1",525,"type VII secretion system ESX-1 associated protein EspE"
"chromosome 1","NZ_LN831039.1",76697,77014,"+",45741683,,"AT701_RS00275","WP_003891383.1",105,"ESX-1 secretion-associated protein"
