NP_214516.1	NP_214517.1
NP_214517.1	NP_214518.1
NP_214518.1	NP_214519.2
NP_214523.1	NP_214524.1
NP_214524.1	NP_214525.1
NP_214525.1	NP_214526.1
NP_214528.1	NP_214529.1
NP_214529.1	NP_214530.1
NP_214530.1	NP_214531.1
NP_214531.1	NP_214532.1
NP_214532.1	NP_214533.1
NP_214533.1	NP_214534.1
NP_214541.1	NP_214542.1
NP_214552.1	NP_214553.1
NP_214553.1	NP_214554.2
NP_214554.2	NP_214555.1
NP_214560.1	NP_214561.1
NP_214561.1	NP_214562.1
NP_214562.1	NP_214563.1
NP_214611.1	NP_214612.1
NP_214612.1	NP_214613.1
NP_214641.1	NP_214642.1
NP_214658.1	NP_214659.1
NP_214660.1	NP_214661.1
NP_214661.1	NP_214662.1
NP_214669.1	NP_214670.1
NP_214670.1	NP_214671.1
NP_214681.1	NP_214682.1
NP_214681.1	NP_215102.1
NP_214684.1	NP_214685.1
NP_214685.1	NP_214686.1
NP_214690.1	NP_214691.1
NP_214697.2	NP_214698.1
NP_214698.1	NP_214699.1
NP_214703.1	NP_214704.1
NP_214704.1	NP_215482.1
NP_214712.1	NP_214713.1
NP_214713.1	NP_214714.1
NP_214714.1	NP_214715.1
NP_214715.1	NP_214716.1
NP_214717.1	NP_214718.2
NP_214718.2	NP_214719.1
NP_214719.1	NP_214720.1
NP_214720.1	NP_214721.1
NP_214737.1	NP_214738.1
NP_214738.1	NP_214739.1
NP_214755.1	NP_214756.1
NP_214761.1	NP_214762.1
NP_214762.1	NP_214763.1
NP_214763.1	NP_214764.1
NP_214776.1	NP_214777.1
NP_214777.1	NP_214778.1
NP_214801.1	NP_214802.1
NP_214806.1	NP_214807.1
NP_214807.1	NP_214808.1
NP_214822.1	NP_214823.1
NP_214823.1	NP_214824.1
NP_214827.1	NP_214828.1
NP_214847.1	NP_214848.1
NP_214864.1	NP_214865.1
NP_214870.1	NP_214871.1
NP_214871.1	NP_214872.1
NP_214874.1	NP_214875.1
NP_214877.1	NP_214878.1
NP_214897.1	NP_214898.1
NP_214920.1	NP_214921.1
NP_214921.1	NP_214922.1
NP_214922.1	NP_214923.1
NP_214924.1	NP_214925.1
NP_214925.1	NP_214926.1
NP_214926.1	NP_214927.1
NP_214927.1	NP_214928.1
NP_214928.1	NP_214929.1
NP_214929.1	NP_214931.1
NP_214935.1	NP_214936.1
NP_214936.1	NP_214937.1
NP_214942.1	NP_214943.1
NP_214944.1	NP_214945.1
NP_214948.1	NP_214949.1
NP_214950.1	NP_214951.1
NP_214958.1	NP_214959.1
NP_214969.1	NP_214970.1
NP_214972.1	NP_214973.1
NP_214973.1	NP_214974.1
NP_214974.1	NP_214975.1
NP_214978.1	NP_214979.1
NP_214982.1	NP_215017.1
NP_214982.1	NP_215156.1
NP_214982.1	NP_215157.1
NP_214982.1	NP_215158.1
NP_214982.1	NP_215159.1
NP_214989.1	NP_214990.1
NP_214990.1	NP_214991.1
NP_214993.1	NP_214994.2
NP_214995.1	NP_214996.1
NP_215004.1	NP_215005.1
NP_215010.3	NP_215011.1
NP_215011.1	NP_215012.1
NP_215017.1	NP_215018.1
NP_215017.1	NP_215156.1
NP_215017.1	NP_215157.1
NP_215017.1	NP_215158.1
NP_215017.1	NP_215159.1
NP_215022.1	NP_215023.1
NP_215023.1	NP_215024.1
NP_215027.1	NP_215028.1
NP_215039.1	NP_215040.1
NP_215044.1	NP_215045.1
NP_215061.1	NP_215062.1
NP_215070.1	NP_215071.1
NP_215076.1	NP_215077.1
NP_215101.1	NP_215102.1
NP_215105.1	NP_215106.1
NP_215149.1	NP_215150.1
NP_215150.1	NP_215151.1
NP_215153.1	NP_215154.1
NP_215154.1	NP_215155.1
NP_215156.1	NP_215157.1
NP_215156.1	NP_215158.1
NP_215156.1	NP_215159.1
NP_215157.1	NP_215158.1
NP_215157.1	NP_215159.1
NP_215158.1	NP_215159.1
NP_215159.1	NP_215160.1
NP_215165.1	NP_215166.1
NP_215181.1	NP_215182.1
NP_215184.1	NP_215185.1
NP_215193.1	NP_215194.1
NP_215196.1	NP_215197.1
NP_215214.1	NP_215215.1
NP_215215.1	NP_215216.1
NP_215216.1	NP_215217.1
NP_215217.1	NP_215218.1
NP_215218.1	NP_215219.1
NP_215219.1	NP_215220.1
NP_215220.1	NP_215221.1
NP_215221.1	NP_215222.1
NP_215222.1	NP_215223.1
NP_215222.1	NP_215224.1
NP_215223.1	NP_215224.1
NP_215224.1	NP_215225.1
NP_215228.1	NP_215229.1
NP_215229.1	NP_215230.1
NP_215230.1	NP_215232.1
NP_215232.1	NP_215233.1
NP_215235.1	NP_215236.1
NP_215246.1	NP_215247.1
NP_215249.1	NP_215250.1
NP_215276.1	NP_215277.1
NP_215290.1	NP_215291.1
NP_215291.1	NP_215292.1
NP_215292.1	NP_215293.1
NP_215293.1	NP_215294.1
NP_215323.1	NP_215324.1
NP_215324.1	NP_215325.1
NP_215328.1	NP_215329.1
NP_215329.1	NP_215330.1
NP_215335.1	NP_215336.1
NP_215383.1	NP_215384.1
NP_215384.1	NP_215385.1
NP_215385.1	NP_215386.1
NP_215394.1	NP_215395.1
NP_215419.1	NP_215420.1
NP_215444.1	NP_215445.2
NP_215466.1	NP_215467.1
NP_215470.1	NP_215471.1
NP_215471.1	NP_215472.1
NP_215496.2	NP_215497.1
NP_215499.1	NP_215500.1
NP_215506.1	NP_215507.1
NP_215507.1	NP_215508.1
