#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"plasmid pSLT","NC_003277.2",73526,74164,"+",1256145,"trbC","PSLT094","NP_490578.1",212,"conjugative transfer: assembly (plasmid)"
"plasmid pSLT","NC_003277.2",74617,76443,"+",1256144,"traN","PSLT095","NP_490579.1",608,"conjugative transfer: aggregate stability (plasmid)"
"plasmid pSLT","NC_003277.2",76454,76669,"+",1256142,"trbE","PSLT096","NP_490580.1",71,"conjugative transfer (plasmid)"
"plasmid pSLT","NC_003277.2",76681,77430,"+",1256140,"traF","PSLT097","NP_490581.1",249,"conjugative transfer: assembly (plasmid)"
"plasmid pSLT","NC_003277.2",77644,77937,"+",1256141,"traQ","PSLT098","NP_490582.1",97,"conjugative transfer: fimbrial synthesis (plasmid)"
"plasmid pSLT","NC_003277.2",77924,78472,"+",1256139,"trbB","PSLT099","NP_490583.1",182,"conjugative transfer (plasmid)"
"plasmid pSLT","NC_003277.2",78462,79844,"+",1256138,"traH","PSLT100","NP_490584.1",460,"conjugative transfer: assembly (plasmid)"
"plasmid pSLT","NC_003277.2",79841,82663,"+",1256136,"traG","PSLT101","NP_490585.1",940,"conjugative transfer: assembly abd aggregate stability (plasmid)"
"plasmid pSLT","NC_003277.2",82679,83173,"+",1256137,"traS","PSLT102","NP_490586.1",164,"conjugative transfer: surface exclusion (plasmid)"
"plasmid pSLT","NC_003277.2",83209,83940,"+",1256135,"traT","PSLT103","NP_490587.1",243,"conjugative transfer: surface exclusion (plasmid)"
"plasmid pSLT","NC_003277.2",84317,86560,"+",1256134,"traD","PSLT104","NP_490588.1",747,"conjugative transfer: DNA transport (plasmid)"
"plasmid pSLT","NC_003277.2",86560,87279,"+",1256132,"trbH","PSLT105","NP_490589.1",239,"conjugative transfer (plasmid)"
"plasmid pSLT","NC_003277.2",86569,86967,"-",1256133,,"PSLT106","NP_490590.1",132,"homologue of mvpA, Shigella flexneri (plasmid)"
"plasmid pSLT","NC_003277.2",86967,87197,"-",1256131,,"PSLT107","NP_490591.1",76,"putative cytoplasmic protein (plasmid)"
"plasmid pSLT","NC_003277.2",87276,92534,"+",1256130,"traI","PSLT108","NP_490592.1",1752,"conjugative transfer: oriT nicking-unwinding (plasmid)"
"plasmid pSLT","NC_003277.2",92554,93294,"+",1256128,"traX","PSLT110","NP_490593.1",246,"conjugative transfer: fimbrial acetylation (plasmid)"
