#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NZ_CP016171.1",1,1518,"+",,"dnaA","BAU08_RS00005","WP_066667537.1",505,"chromosomal replication initiator protein DnaA"
"chromosome","NZ_CP016171.1",1521,2630,"+",,,"BAU08_RS00010","WP_066359814.1",369,"DNA polymerase III subunit beta"
"chromosome","NZ_CP016171.1",2720,5173,"+",,"gyrB","BAU08_RS00015","WP_066342594.1",817,"DNA topoisomerase (ATP-hydrolyzing) subunit B"
"chromosome","NZ_CP016171.1",5489,5812,"+",,,"BAU08_RS00020","WP_066342596.1",107,"DUF4148 domain-containing protein"
"chromosome","NZ_CP016171.1",6117,7040,"-",,,"BAU08_RS00025","WP_066342599.1",307,"LysR family transcriptional regulator"
"chromosome","NZ_CP016171.1",7353,8828,"+",,,"BAU08_RS00030","WP_066667538.1",491,"sulfatase-like hydrolase/transferase"
"chromosome","NZ_CP016171.1",8960,9940,"+",,,"BAU08_RS00035","WP_197513464.1",326,"tripartite tricarboxylate transporter substrate binding protein"
"chromosome","NZ_CP016171.1",10261,10584,"+",,,"BAU08_RS00040","WP_066667541.1",107,"DUF4148 domain-containing protein"
"chromosome","NZ_CP016171.1",11098,12012,"+",,,"BAU08_RS00045","WP_066667543.1",304,"MaoC family dehydratase N-terminal domain-containing protein"
"chromosome","NZ_CP016171.1",12081,13238,"+",,,"BAU08_RS00050","WP_066667545.1",385,"acyl-CoA/acyl-ACP dehydrogenase"
"chromosome","NZ_CP016171.1",13210,14466,"+",,,"BAU08_RS00055","WP_082987875.1",418,"CoA transferase"
"chromosome","NZ_CP016171.1",14572,16011,"+",,,"BAU08_RS00060","WP_066667557.1",479,"MmgE/PrpD family protein"
"chromosome","NZ_CP016171.1",16248,17153,"+",,,"BAU08_RS00065","WP_066667558.1",301,"LysR family transcriptional regulator"
"chromosome","NZ_CP016171.1",17160,18065,"-",,,"BAU08_RS00070","WP_066342619.1",301,"LysR family transcriptional regulator"
"chromosome","NZ_CP016171.1",18176,19333,"+",,,"BAU08_RS00075","WP_066667560.1",385,"iron-containing alcohol dehydrogenase"
"chromosome","NZ_CP016171.1",19361,20248,"+",,,"BAU08_RS00080","WP_066342621.1",295,"TauD/TfdA family dioxygenase"
"chromosome","NZ_CP016171.1",20361,21365,"+",,,"BAU08_RS00085","WP_066342623.1",334,"tripartite tricarboxylate transporter substrate binding protein"
"chromosome","NZ_CP016171.1",21352,22650,"+",,,"BAU08_RS00090","WP_082987876.1",432,"alpha-hydroxy-acid oxidizing protein"
"chromosome","NZ_CP016171.1",22589,23008,"+",,,"BAU08_RS00095","WP_066342624.1",139,"nuclear transport factor 2 family protein"
"chromosome","NZ_CP016171.1",23030,23791,"+",,,"BAU08_RS00100","WP_066667562.1",253,"fumarylacetoacetate hydrolase family protein"
"chromosome","NZ_CP016171.1",23846,24832,"+",,,"BAU08_RS00105","WP_066667564.1",328,"NADPH:quinone reductase"
"chromosome","NZ_CP016171.1",25289,26536,"+",,,"BAU08_RS00110","WP_066348196.1",415,"IS256 family transposase"
"chromosome","NZ_CP016171.1",27403,27966,"-",,,"BAU08_RS00115","WP_066342627.1",187,"hypothetical protein"
"chromosome","NZ_CP016171.1",28021,29001,"-",,,"BAU08_RS00120","WP_066667565.1",326,"hypothetical protein"
"chromosome","NZ_CP016171.1",29022,30119,"-",,,"BAU08_RS00125","WP_066667566.1",365,"mandelate racemase/muconate lactonizing enzyme family protein"
"chromosome","NZ_CP016171.1",30130,31176,"-",,,"BAU08_RS00130","WP_066667568.1",348,"D-2-hydroxyacid dehydrogenase"
"chromosome","NZ_CP016171.1",31218,32384,"-",,,"BAU08_RS00135","WP_066667570.1",388,"mandelate racemase/muconate lactonizing enzyme family protein"
"chromosome","NZ_CP016171.1",32399,33370,"-",,,"BAU08_RS00140","WP_066667572.1",323,"tripartite tricarboxylate transporter substrate binding protein"
"chromosome","NZ_CP016171.1",33591,34508,"+",,,"BAU08_RS00145","WP_066667574.1",305,"LysR family transcriptional regulator"
"chromosome","NZ_CP016171.1",34534,35535,"-",,,"BAU08_RS00150","WP_066667576.1",333,"NADPH:quinone oxidoreductase family protein"
"chromosome","NZ_CP016171.1",35574,36047,"-",,,"BAU08_RS00155","WP_082987879.1",157,"PaaI family thioesterase"
"chromosome","NZ_CP016171.1",36044,37753,"-",,,"BAU08_RS00160","WP_156774141.1",569,"AMP-binding protein"
"chromosome","NZ_CP016171.1",37907,38554,"-",,,"BAU08_RS27460","WP_066667578.1",215,"SRPBCC family protein"
"chromosome","NZ_CP016171.1",38785,41166,"-",,,"BAU08_RS00170","WP_082987880.1",793,"xanthine dehydrogenase family protein molybdopterin-binding subunit"
"chromosome","NZ_CP016171.1",41171,41674,"-",,,"BAU08_RS00175","WP_156774142.1",167,"2Fe-2S iron-sulfur cluster binding domain-containing protein"
"chromosome","NZ_CP016171.1",41721,42605,"-",,,"BAU08_RS00180","WP_066667580.1",294,"FAD binding domain-containing protein"
"chromosome","NZ_CP016171.1",42800,43690,"+",,,"BAU08_RS00185","WP_066342652.1",296,"polysaccharide deacetylase family protein"
"chromosome","NZ_CP016171.1",43765,44739,"-",,,"BAU08_RS00190","WP_066667582.1",324,"tripartite tricarboxylate transporter substrate binding protein"
"chromosome","NZ_CP016171.1",48089,49111,"-",,,"BAU08_RS00200","WP_066667585.1",340,"asparaginase"
"chromosome","NZ_CP016171.1",49235,50122,"-",,,"BAU08_RS00205","WP_066342659.1",295,"LysR family transcriptional regulator"
"chromosome","NZ_CP016171.1",50311,51603,"+",,,"BAU08_RS00210","WP_066667587.1",430,"amidase"
"chromosome","NZ_CP016171.1",51647,52825,"+",,,"BAU08_RS00215","WP_066342662.1",392,"ABC transporter substrate-binding protein"
"chromosome","NZ_CP016171.1",52896,53765,"+",,,"BAU08_RS00220","WP_066342665.1",289,"branched-chain amino acid ABC transporter permease"
"chromosome","NZ_CP016171.1",53773,54771,"+",,,"BAU08_RS00225","WP_066342666.1",332,"branched-chain amino acid ABC transporter permease"
"chromosome","NZ_CP016171.1",54768,55550,"+",,,"BAU08_RS00230","WP_066667589.1",260,"ABC transporter ATP-binding protein"
"chromosome","NZ_CP016171.1",55528,56238,"+",,,"BAU08_RS00235","WP_066667591.1",236,"ABC transporter ATP-binding protein"
"chromosome","NZ_CP016171.1",56262,57230,"+",,,"BAU08_RS00240","WP_197513465.1",322,"polysaccharide deacetylase family protein"
"chromosome","NZ_CP016171.1",57250,58242,"-",,,"BAU08_RS00245","WP_066357569.1",330,"XdhC family protein"
"chromosome","NZ_CP016171.1",58546,58851,"-",,,"BAU08_RS00250","WP_066342674.1",101,"DUF4148 domain-containing protein"
"chromosome","NZ_CP016171.1",59160,59921,"-",,,"BAU08_RS00255","WP_066342676.1",253,"molybdopterin-dependent oxidoreductase"
"chromosome","NZ_CP016171.1",59914,60621,"-",,,"BAU08_RS00260","WP_082987882.1",235,"cytochrome b/b6 domain-containing protein"
"chromosome","NZ_CP016171.1",60699,61325,"-",,,"BAU08_RS00265","WP_066342677.1",208,"hypothetical protein"
"chromosome","NZ_CP016171.1",61504,62199,"+",,,"BAU08_RS00270","WP_066342679.1",231,"heavy metal response regulator transcription factor"
"chromosome","NZ_CP016171.1",62172,63641,"+",,,"BAU08_RS00275","WP_066667593.1",489,"heavy metal sensor histidine kinase"
"chromosome","NZ_CP016171.1",63880,64182,"+",,,"BAU08_RS00280","WP_066342681.1",100,"DUF4148 domain-containing protein"
"chromosome","NZ_CP016171.1",64513,64836,"+",,,"BAU08_RS00285","WP_066667594.1",107,"DUF4148 domain-containing protein"
"chromosome","NZ_CP016171.1",65471,65800,"+",,,"BAU08_RS00290","WP_066342683.1",109,"DUF4148 domain-containing protein"
"chromosome","NZ_CP016171.1",65937,66635,"-",,,"BAU08_RS00295","WP_066342689.1",232,"UdgX family uracil-DNA binding protein"
"chromosome","NZ_CP016171.1",66910,67911,"+",,,"BAU08_RS00300","WP_066667596.1",333,"tripartite tricarboxylate transporter substrate binding protein"
"chromosome","NZ_CP016171.1",68038,68928,"+",,,"BAU08_RS00305","WP_066667598.1",296,"FAD binding domain-containing protein"
"chromosome","NZ_CP016171.1",68995,69501,"+",,,"BAU08_RS00310","WP_066342695.1",168,"(2Fe-2S)-binding protein"
"chromosome","NZ_CP016171.1",69498,71909,"+",,,"BAU08_RS00315","WP_082987885.1",803,"xanthine dehydrogenase family protein molybdopterin-binding subunit"
"chromosome","NZ_CP016171.1",72193,73143,"-",,,"BAU08_RS00320","WP_066342697.1",316,"SMP-30/gluconolactonase/LRE family protein"
"chromosome","NZ_CP016171.1",73121,73843,"-",,,"BAU08_RS00325","WP_066357575.1",240,"ABC transporter ATP-binding protein"
"chromosome","NZ_CP016171.1",73923,75800,"-",,,"BAU08_RS00330","WP_197513466.1",625,"ATP-binding cassette domain-containing protein"
"chromosome","NZ_CP016171.1",75800,76657,"-",,,"BAU08_RS00335","WP_066342698.1",285,"branched-chain amino acid ABC transporter permease"
"chromosome","NZ_CP016171.1",76673,77863,"-",,,"BAU08_RS00340","WP_197509400.1",396,"ABC transporter substrate-binding protein"
"chromosome","NZ_CP016171.1",77927,79018,"-",,,"BAU08_RS00345","WP_066342700.1",363,"mandelate racemase/muconate lactonizing enzyme family protein"
"chromosome","NZ_CP016171.1",79015,80136,"-",,,"BAU08_RS00350","WP_066667600.1",373,"mandelate racemase/muconate lactonizing enzyme family protein"
"chromosome","NZ_CP016171.1",80296,81234,"+",,,"BAU08_RS00355","WP_066342702.1",312,"LysR family transcriptional regulator"
"chromosome","NZ_CP016171.1",81222,81506,"-",,,"BAU08_RS00360","WP_066342703.1",94,"acylphosphatase"
"chromosome","NZ_CP016171.1",81697,82569,"+",,,"BAU08_RS00365","WP_066342704.1",290,"alpha/beta hydrolase"
"chromosome","NZ_CP016171.1",82773,83675,"+",,,"BAU08_RS00370","WP_066342706.1",300,"phytanoyl-CoA dioxygenase family protein"
"chromosome","NZ_CP016171.1",83809,84105,"+",,,"BAU08_RS00375","WP_066667602.1",98,"zf-TFIIB domain-containing protein"
"chromosome","NZ_CP016171.1",84136,84552,"-",,,"BAU08_RS00380","WP_066667606.1",138,"VOC family protein"
"chromosome","NZ_CP016171.1",84802,85734,"+",,"panE","BAU08_RS00385","WP_066667608.1",310,"2-dehydropantoate 2-reductase"
"chromosome","NZ_CP016171.1",85806,86255,"+",,,"BAU08_RS00390","WP_066342709.1",149,"nuclear transport factor 2 family protein"
"chromosome","NZ_CP016171.1",86311,86841,"+",,,"BAU08_RS00395","WP_066342710.1",176,"nucleoside 2-deoxyribosyltransferase"
"chromosome","NZ_CP016171.1",86924,87640,"-",,,"BAU08_RS00400","WP_066667610.1",238,"3,4-dihydroxy-2-butanone-4-phosphate synthase"
"chromosome","NZ_CP016171.1",88154,89470,"-",,,"BAU08_RS00405","WP_066342714.1",438,"VCBS repeat-containing protein"
"chromosome","NZ_CP016171.1",89712,90203,"-",,,"BAU08_RS00410","WP_066342715.1",163,"SET domain-containing protein-lysine N-methyltransferase"
"chromosome","NZ_CP016171.1",90283,90756,"-",,,"BAU08_RS00415","WP_066667612.1",157,"Lrp/AsnC family transcriptional regulator"
"chromosome","NZ_CP016171.1",90861,92675,"+",,"ilvB","BAU08_RS00420","WP_066667613.1",604,"biosynthetic-type acetolactate synthase large subunit"
"chromosome","NZ_CP016171.1",92811,94244,"-",,,"BAU08_RS00425","WP_066342720.1",477,"aldehyde dehydrogenase family protein"
"chromosome","NZ_CP016171.1",94289,96997,"-",,,"BAU08_RS00430","WP_066667615.1",902,"DNA topoisomerase III"
"chromosome","NZ_CP016171.1",97059,99782,"+",,,"BAU08_RS00435","WP_066667617.1",907,"GDYXXLXY domain-containing protein"
"chromosome","NZ_CP016171.1",99770,100663,"-",,"gluQRS","BAU08_RS00440","WP_066342725.1",297,"tRNA glutamyl-Q(34) synthetase GluQRS"
"chromosome","NZ_CP016171.1",100739,101200,"-",,,"BAU08_RS00445","WP_066342731.1",153,"MULTISPECIES: DUF494 domain-containing protein"
"chromosome","NZ_CP016171.1",101471,102610,"+",,,"BAU08_RS00450","WP_066357586.1",379,"DSD1 family PLP-dependent enzyme"
"chromosome","NZ_CP016171.1",102622,103353,"-",,,"BAU08_RS00455","WP_066342734.1",243,"amino acid ABC transporter ATP-binding protein"
"chromosome","NZ_CP016171.1",103334,103990,"-",,,"BAU08_RS00460","WP_066342736.1",218,"amino acid ABC transporter permease"
"chromosome","NZ_CP016171.1",103987,104655,"-",,,"BAU08_RS00465","WP_066342739.1",222,"amino acid ABC transporter permease"
