#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NC_000962.3",1,1524,"+",885041,"dnaA","Rv0001","NP_214515.1",507,"chromosomal replication initiator protein DnaA"
"chromosome","NC_000962.3",2052,3260,"+",887092,"dnaN","Rv0002","NP_214516.1",402,"DNA polymerase III subunit beta"
"chromosome","NC_000962.3",3280,4437,"+",887089,"recF","Rv0003","NP_214517.1",385,"DNA replication/repair protein RecF"
"chromosome","NC_000962.3",4434,4997,"+",887088,,"Rv0004","NP_214518.1",187,"hypothetical protein Rv0004"
"chromosome","NC_000962.3",5240,7267,"+",887081,"gyrB","Rv0005","NP_214519.2",675,"DNA gyrase subunit B"
"chromosome","NC_000962.3",7302,9818,"+",887105,"gyrA","Rv0006","NP_214520.1",838,"DNA gyrase subunit A"
"chromosome","NC_000962.3",9914,10828,"+",885982,,"Rv0007","NP_214521.1",304,"membrane protein"
"chromosome","NC_000962.3",11874,12311,"-",887085,,"Rv0008c","NP_214522.1",145,"cell wall synthesis protein CwsA"
"chromosome","NC_000962.3",12468,13016,"+",887087,"ppiA","Rv0009","NP_214523.1",182,"iron-regulated peptidyl-prolyl cis-trans isomerase PpiA"
"chromosome","NC_000962.3",13133,13558,"-",887082,,"Rv0010c","NP_214524.1",141,"membrane protein"
"chromosome","NC_000962.3",13714,13995,"-",887074,,"Rv0011c","NP_214525.1",93,"cell division protein CrgA"
"chromosome","NC_000962.3",14089,14877,"+",887083,,"Rv0012","NP_214526.1",262,"membrane protein"
"chromosome","NC_000962.3",14914,15612,"+",885955,"trpG","Rv0013","YP_177615.1",232,"anthranilate synthase component II"
"chromosome","NC_000962.3",15590,17470,"-",887072,"pknB","Rv0014c","NP_214528.1",626,"serine/threonine-protein kinase PknB"
"chromosome","NC_000962.3",17467,18762,"-",885953,"pknA","Rv0015c","NP_214529.1",431,"serine/threonine-protein kinase PknA"
"chromosome","NC_000962.3",18759,20234,"-",887078,"pbpA","Rv0016c","NP_214530.1",491,"penicillin-binding protein PbpA"
"chromosome","NC_000962.3",20231,21640,"-",887075,"rodA","Rv0017c","NP_214531.1",469,"cell division protein RodA"
