Mycobacterium_tuberculosis_H37Rv.txt	B_bronchialis_5000.txt	C_diphtheriae_5000.txt	E_coli_5000.txt	N_asteroides_5000.txt	S_enterica_5000.txt	S_pneumoniae_5000.txt	Y_enterocolitica_5000.txt
NP_214515.1	0	0	0	0	0	WP_000660618.1	WP_005161100.1
NP_214516.1	0	WP_003853309.1	0	0	0	0	0
NP_214517.1	WP_066345481.1	0	0	0	0	0	0
NP_214519.2	WP_066342594.1	0	0	0	0	WP_000037277.1,WP_000134037.1	0
NP_214520.1	0	WP_003853320.1	0	0	0	0	0
NP_214523.1	0	0	0	0	0	WP_000339014.1	0
NP_214525.1	0	WP_003849883.1	0	0	0	0	0
NP_214528.1	0	WP_014307092.1	0	0	0	0	0
NP_214531.1	0	WP_014301108.1	0	0	0	0	0
NP_214533.1	0	0	0	WP_019044286.1	0	0	0
NP_214536.1	0	0	0	WP_019044565.1	0	0	0
NP_214538.1	0	WP_014303642.1	0	WP_019045274.1	0	0	0
NP_214547.1	0	0	0	0	0	WP_000257841.1	0
NP_214555.1	0	0	0	0	0	WP_000011759.1	0
NP_214556.1	0	0	0	WP_019044735.1	0	0	0
NP_214567.1	0	WP_003853145.1	0	0	0	0	0
NP_214568.1	0	WP_003853143.1	0	0	0	0	0
NP_214579.1	0	0	0	WP_019045202.1	0	0	0
NP_214581.1	0	0	0	WP_019045559.1	0	0	0
NP_214582.1	0	0	0	WP_019044894.1,WP_019045552.1	0	0	0
NP_214583.1	0	WP_014310477.1	0	0	0	WP_000500040.1	WP_011816009.1
NP_214584.1	0	0	0	0	0	WP_000575521.1	WP_005159491.1
NP_214587.1	0	0	NP_415330.1,NP_415385.1	WP_019044385.1	NP_459805.1	0	WP_005168188.1
NP_214592.1	0	0	0	WP_019045230.1	0	0	0
NP_214595.1	0	0	0	WP_019045595.1	0	0	0
NP_214596.2	0	0	0	0	0	0	WP_002210278.1
NP_214606.1	0	0	0	WP_019044373.1,WP_019045660.1	0	0	0
NP_214607.1	0	WP_004567129.1,WP_010934624.1	0	0	0	0	0
NP_214617.1	0	0	0	WP_019044373.1	0	0	0
NP_214624.1	0	WP_014307720.1	0	0	0	0	0
NP_214627.1	WP_066343579.1	0	NP_414757.1	0	NP_459308.1	0	WP_005167499.1
NP_214631.1	WP_066344496.1,WP_066345947.1	0	0	0	NP_459120.1,NP_459254.1	0	0
NP_214634.1	0	0	0	WP_019045572.1	0	0	0
NP_214645.1	0	0	0	WP_019044876.1	0	0	0
NP_214649.1	0	0	0	WP_019044743.1,WP_019045315.1	0	0	0
NP_214651.1	0	WP_010935710.1	0	0	0	0	0
NP_214654.1	WP_066343230.1	0	0	0	0	0	0
NP_214658.1	0	WP_003852595.1,WP_010934950.1	0	WP_019044699.1	0	0	0
NP_214662.1	WP_066344652.1	0	0	WP_019044756.1,WP_019044781.1,WP_019045236.1	0	0	0
NP_214668.1	0	0	0	WP_019044876.1	0	0	0
NP_214670.1	0	0	0	WP_019045334.1	0	0	0
NP_214671.1	0	0	0	0	0	0	WP_005169667.1
NP_214672.1	0	0	0	WP_019044481.1	0	0	0
NP_214681.1	0	0	0	WP_019044782.1,WP_019045462.1	0	0	0
NP_214703.1	0	0	0	0	0	WP_000137351.1	0
NP_214704.1	0	0	0	WP_019045120.1	0	0	0
NP_214722.1	WP_066343836.1	0	0	0	0	0	0
NP_214725.1	WP_066348424.1	0	0	0	0	0	0
NP_214736.1	0	0	NP_414578.2	WP_019044771.1	NP_459075.1	0	0
NP_214743.2	0	0	0	WP_019044697.1	0	0	0
NP_214749.1	0	0	0	WP_019044370.1	0	0	0
NP_214752.1	0	0	0	WP_019044774.1	NP_459797.1	0	0
NP_214755.1	0	0	0	WP_019045581.1	0	0	0
NP_214756.1	WP_066346682.1	0	0	0	0	0	0
NP_214766.1	WP_066345742.1	0	0	0	0	0	0
NP_214767.1	0	0	0	0	0	0	WP_005159717.1
NP_214768.1	0	WP_014303646.1	0	0	0	0	0
NP_214787.1	0	WP_014301635.1	0	WP_019044743.1	0	0	0
NP_214796.1	0	0	0	0	0	0	WP_005163065.1
