#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome 1","NZ_LN831026.1",2463649,1659,"+",29422234,"dnaA","AT687_RS00005","WP_014318414.1",558,"chromosomal replication initiator protein DnaA"
"chromosome 1","NZ_LN831026.1",2298,3485,"+",29421657,"dnaN","AT687_RS00010","WP_003853309.1",395,"MULTISPECIES: DNA polymerase III subunit beta"
"chromosome 1","NZ_LN831026.1",3524,4717,"+",29422160,"recF","AT687_RS00015","WP_014318415.1",397,"DNA replication/repair protein RecF"
"chromosome 1","NZ_LN831026.1",4707,5258,"+",29422172,,"AT687_RS00020","WP_014318416.1",183,"DUF721 domain-containing protein"
"chromosome 1","NZ_LN831026.1",5372,7417,"+",29421565,"gyrB","AT687_RS00025","WP_014318417.1",681,"DNA topoisomerase (ATP-hydrolyzing) subunit B"
"chromosome 1","NZ_LN831026.1",7484,7921,"-",29422004,,"AT687_RS00030","WP_003853315.1",145,"MULTISPECIES: hypothetical protein"
"chromosome 1","NZ_LN831026.1",8182,8454,"-",29421735,,"AT687_RS00035","WP_014318418.1",90,"MULTISPECIES: hypothetical protein"
"chromosome 1","NZ_LN831026.1",8459,8659,"-",29421653,,"AT687_RS00040","WP_014318419.1",66,"hypothetical protein"
"chromosome 1","NZ_LN831026.1",8770,11340,"+",29421697,"gyrA","AT687_RS00045","WP_003853320.1",856,"DNA gyrase subunit A"
"chromosome 1","NZ_LN831026.1",11340,11684,"+",29421626,,"AT687_RS00050","WP_003853322.1",114,"DUF3566 domain-containing protein"
"chromosome 1","NZ_LN831026.1",12152,12874,"-",29421582,,"AT687_RS00065","WP_003853324.1",240,"MULTISPECIES: FadR family transcriptional regulator"
"chromosome 1","NZ_LN831026.1",12947,14617,"-",29422666,,"AT687_RS00070","WP_014318420.1",556,"L-lactate permease"
"chromosome 1","NZ_LN831026.1",15126,15587,"+",29421655,,"AT687_RS00075","WP_014318421.1",153,"YPDG domain-containing protein"
"chromosome 1","NZ_LN831026.1",15706,17319,"+",29421387,,"AT687_RS00080","WP_014318422.1",537,"ATP-binding cassette domain-containing protein"
"chromosome 1","NZ_LN831026.1",17309,18955,"+",29422033,,"AT687_RS00085","WP_014318423.1",548,"ABC transporter ATP-binding protein"
"chromosome 1","NZ_LN831026.1",19651,20049,"-",29421272,,"AT687_RS00100","WP_014318424.1",132,"hypothetical protein"
"chromosome 1","NZ_LN831026.1",20468,20650,"+",29422481,,"AT687_RS00110","WP_014302646.1",60,"hypothetical protein"
"chromosome 1","NZ_LN831026.1",20647,21000,"-",55470256,,"AT687_RS12760","WP_014306223.1",117,"MULTISPECIES: alpha-amylase"
"chromosome 1","NZ_LN831026.1",21423,22421,"+",29421937,,"AT687_RS00120","WP_003853340.1",332,"MULTISPECIES: substrate-binding domain-containing protein"
"chromosome 1","NZ_LN831026.1",22418,23449,"+",29421868,,"AT687_RS00125","WP_014301086.1",343,"MULTISPECIES: ABC transporter permease"
"chromosome 1","NZ_LN831026.1",23450,24211,"+",29422546,,"AT687_RS00130","WP_014302648.1",253,"MULTISPECIES: sugar ABC transporter ATP-binding protein"
"chromosome 1","NZ_LN831026.1",24259,24867,"-",29421974,,"AT687_RS00135","WP_014301088.1",202,"MULTISPECIES: hypothetical protein"
"chromosome 1","NZ_LN831026.1",24936,25472,"+",29421342,,"AT687_RS00140","WP_014318426.1",178,"peptidylprolyl isomerase"
"chromosome 1","NZ_LN831026.1",26180,26530,"-",29422899,,"AT687_RS00150","WP_014302652.1",116,"hypothetical protein"
"chromosome 1","NZ_LN831026.1",27114,27731,"+",29422082,,"AT687_RS00155","WP_014307720.1",205,"rhomboid family intramembrane serine protease"
"chromosome 1","NZ_LN831026.1",28807,30606,"+",29422887,"thiC","AT687_RS00160","WP_014318427.1",599,"phosphomethylpyrimidine synthase ThiC"
"chromosome 1","NZ_LN831026.1",30590,31258,"+",29422597,,"AT687_RS00165","WP_014302655.1",222,"thiamine phosphate synthase"
